,SQUID_Volt(V),timestamp,Temp(V)
236,-2.85294000E-05,1558949517.0456667,+6.88350000E-05
237,-2.84960000E-05,1558949517.254,+6.84880000E-05
238,-2.86229000E-05,1558949517.4623332,+6.83390000E-05
239,-2.84960000E-05,1558949517.6706667,+6.82770000E-05
240,-2.85628000E-05,1558949517.879,+6.82400000E-05
241,-2.85828000E-05,1558949518.0873332,+6.85750000E-05
242,-2.85495000E-05,1558949518.2956667,+6.82280000E-05
243,-2.85227000E-05,1558949518.504,+6.84630000E-05
244,-2.84560000E-05,1558949518.7123332,+6.84380000E-05
245,-2.84226000E-05,1558949518.9206667,+6.83640000E-05
246,-2.86229000E-05,1558949519.129,+6.83760000E-05
247,-2.84760000E-05,1558949519.3373332,+6.84260000E-05
248,-2.86029000E-05,1558949519.5456667,+6.81410000E-05
249,-2.85095000E-05,1558949519.754,+6.89210000E-05
250,-2.88231000E-05,1558949523.353,+6.83760000E-05
251,-2.87097000E-05,1558949523.5613332,+6.90450000E-05
252,-2.87631000E-05,1558949523.7696667,+6.86120000E-05
253,-2.88232000E-05,1558949523.978,+6.88350000E-05
254,-2.87564000E-05,1558949524.1863332,+6.88840000E-05
255,-2.87898000E-05,1558949524.3946667,+6.84380000E-05
256,-2.87897000E-05,1558949524.603,+6.85250000E-05
257,-2.87363000E-05,1558949524.8113332,+6.91940000E-05
258,-2.87696000E-05,1558949525.0196667,+6.83890000E-05
259,-2.89233000E-05,1558949525.228,+6.83760000E-05
260,-2.88364000E-05,1558949525.4363332,+6.86980000E-05
261,-2.86830000E-05,1558949525.6446667,+6.85250000E-05
262,-2.88498000E-05,1558949525.853,+6.82150000E-05
263,-2.88966000E-05,1558949526.0613332,+6.84750000E-05
264,-2.88097000E-05,1558949526.2696667,+6.83760000E-05
265,-2.88298000E-05,1558949526.478,+6.85990000E-05
266,-3.00910000E-05,1558949526.6863332,+6.84510000E-05
267,-2.85362000E-05,1558949526.8946667,+6.87850000E-05
268,-2.87830000E-05,1558949527.103,+6.86740000E-05
269,-2.88031000E-05,1558949527.3113332,+6.84260000E-05
270,-2.88031000E-05,1558949527.5196667,+6.80290000E-05
271,-2.88164000E-05,1558949527.728,+6.84630000E-05
272,-2.88097000E-05,1558949527.9363332,+6.84010000E-05
273,-2.88031000E-05,1558949528.1446667,+6.82030000E-05
274,-2.87296000E-05,1558949528.353,+6.83640000E-05
275,-2.87363000E-05,1558949531.954,+6.85370000E-05
276,-2.86495000E-05,1558949532.1623333,+6.86610000E-05
277,-2.86095000E-05,1558949532.3706667,+6.87600000E-05
278,-2.86228000E-05,1558949532.579,+6.87480000E-05
279,-2.85695000E-05,1558949532.7873333,+6.85870000E-05
280,-2.86362000E-05,1558949532.9956667,+6.93430000E-05
281,-2.85895000E-05,1558949533.204,+6.90950000E-05
282,-2.85761000E-05,1558949533.4123333,+6.88350000E-05
283,-2.85561000E-05,1558949533.6206667,+6.85750000E-05
284,-2.86629000E-05,1558949533.829,+6.87360000E-05
285,-2.86163000E-05,1558949534.0373333,+6.85620000E-05
286,-2.87430000E-05,1558949534.2456667,+6.85500000E-05
287,-2.85961000E-05,1558949534.454,+6.83890000E-05
288,-2.86296000E-05,1558949534.6623333,+6.87360000E-05
289,-2.85827000E-05,1558949534.8706667,+6.85130000E-05
290,-2.86697000E-05,1558949535.079,+6.85750000E-05
291,-2.85962000E-05,1558949535.2873333,+6.84140000E-05
292,-2.86430000E-05,1558949535.4956667,+6.85750000E-05
293,-2.86095000E-05,1558949535.704,+6.83890000E-05
294,-2.86762000E-05,1558949535.9123333,+6.83890000E-05
295,-2.86295000E-05,1558949536.1206667,+6.85370000E-05
296,-2.86362000E-05,1558949536.329,+6.82280000E-05
297,-2.85093000E-05,1558949536.5373333,+6.80420000E-05
298,-2.84693000E-05,1558949536.7456667,+6.82400000E-05
299,-2.86162000E-05,1558949536.954,+6.84260000E-05
300,-2.84627000E-05,1558949540.554,+6.87480000E-05
301,-2.84760000E-05,1558949540.7623332,+6.85870000E-05
302,-2.84760000E-05,1558949540.9706666,+6.87730000E-05
303,-2.84493000E-05,1558949541.179,+6.85000000E-05
304,-2.84627000E-05,1558949541.3873332,+6.86860000E-05
305,-2.84027000E-05,1558949541.5956666,+6.83760000E-05
306,-2.85895000E-05,1558949541.804,+6.83520000E-05
307,-2.84495000E-05,1558949542.0123332,+6.85750000E-05
308,-2.84360000E-05,1558949542.2206666,+6.82520000E-05
309,-2.85095000E-05,1558949542.429,+6.82280000E-05
310,-2.84360000E-05,1558949542.6373332,+6.79800000E-05
311,-2.85027000E-05,1558949542.8456666,+6.81530000E-05
312,-2.85094000E-05,1558949543.054,+6.77440000E-05
313,-2.84294000E-05,1558949543.2623332,+6.81410000E-05
314,-2.84293000E-05,1558949543.4706666,+6.78310000E-05
315,-2.84493000E-05,1558949543.679,+6.81910000E-05
316,-2.85294000E-05,1558949543.8873332,+6.80790000E-05
317,-2.85295000E-05,1558949544.0956666,+6.79430000E-05
318,-2.83827000E-05,1558949544.304,+6.76330000E-05
319,-2.84094000E-05,1558949544.5123332,+6.79060000E-05
320,-2.83493000E-05,1558949544.7206666,+6.77690000E-05
321,-2.84027000E-05,1558949544.929,+6.78930000E-05
322,-2.83694000E-05,1558949545.1373332,+6.76950000E-05
323,-2.83492000E-05,1558949545.3456666,+6.79800000E-05
324,-2.83961000E-05,1558949545.554,+6.76580000E-05
325,-2.86964000E-05,1558949549.154,+6.82280000E-05
326,-2.86897000E-05,1558949549.3623333,+6.79920000E-05
327,-2.86963000E-05,1558949549.5706668,+6.81410000E-05
328,-2.87697000E-05,1558949549.779,+6.79680000E-05
329,-2.86696000E-05,1558949549.9873333,+6.79680000E-05
330,-2.86830000E-05,1558949550.1956668,+6.77200000E-05
331,-2.87097000E-05,1558949550.404,+6.80670000E-05
332,-2.86628000E-05,1558949550.6123333,+6.75090000E-05
333,-2.87364000E-05,1558949550.8206668,+6.80290000E-05
334,-2.86964000E-05,1558949551.029,+6.79180000E-05
335,-2.86963000E-05,1558949551.2373333,+6.79680000E-05
336,-2.86096000E-05,1558949551.4456668,+6.75960000E-05
337,-2.87230000E-05,1558949551.654,+6.76830000E-05
338,-2.86563000E-05,1558949551.8623333,+6.80420000E-05
339,-2.86696000E-05,1558949552.0706668,+6.72980000E-05
340,-2.85629000E-05,1558949552.279,+6.74350000E-05
341,-2.85362000E-05,1558949552.4873333,+6.75710000E-05
342,-2.86696000E-05,1558949552.6956668,+6.75710000E-05
343,-2.86230000E-05,1558949552.904,+6.76950000E-05
344,-2.86495000E-05,1558949553.1123333,+6.72610000E-05
345,-2.85895000E-05,1558949553.3206668,+6.76210000E-05
346,-2.85560000E-05,1558949553.529,+6.74470000E-05
347,-2.86094000E-05,1558949553.7373333,+6.76080000E-05
348,-2.85362000E-05,1558949553.9456668,+6.74840000E-05
349,-2.86696000E-05,1558949554.154,+6.71250000E-05
350,-2.88698000E-05,1558949557.753,+6.80420000E-05
351,-2.88432000E-05,1558949557.9613333,+6.80670000E-05
352,-2.88632000E-05,1558949558.1696668,+6.80670000E-05
353,-2.87563000E-05,1558949558.378,+6.79060000E-05
354,-2.88497000E-05,1558949558.5863333,+6.77940000E-05
355,-2.88765000E-05,1558949558.7946668,+6.78060000E-05
356,-2.89299000E-05,1558949559.003,+6.75460000E-05
357,-2.89498000E-05,1558949559.2113333,+6.79300000E-05
358,-2.89699000E-05,1558949559.4196668,+6.78930000E-05
359,-2.90167000E-05,1558949559.628,+6.75830000E-05
360,-2.89833000E-05,1558949559.8363333,+6.75340000E-05
361,-2.89967000E-05,1558949560.0446668,+6.73230000E-05
362,-2.89967000E-05,1558949560.253,+6.75460000E-05
363,-2.90367000E-05,1558949560.4613333,+6.75340000E-05
364,-2.90434000E-05,1558949560.6696668,+6.74600000E-05
365,-2.90700000E-05,1558949560.878,+6.72120000E-05
366,-2.90100000E-05,1558949561.0863333,+6.72490000E-05
367,-2.90500000E-05,1558949561.2946668,+6.71370000E-05
368,-2.90833000E-05,1558949561.503,+6.75090000E-05
369,-2.90633000E-05,1558949561.7113333,+6.69520000E-05
370,-2.90032000E-05,1558949561.9196668,+6.68520000E-05
371,-2.90500000E-05,1558949562.128,+6.71370000E-05
372,-2.91100000E-05,1558949562.3363333,+6.66910000E-05
373,-2.90032000E-05,1558949562.5446668,+6.70140000E-05
374,-2.90434000E-05,1558949562.753,+6.68400000E-05
375,-2.90099000E-05,1558949566.354,+6.71130000E-05
376,-2.89765000E-05,1558949566.5623333,+6.71130000E-05
377,-2.89432000E-05,1558949566.7706668,+6.72240000E-05
378,-2.90633000E-05,1558949566.979,+6.69390000E-05
379,-2.90833000E-05,1558949567.1873333,+6.75090000E-05
380,-2.90299000E-05,1558949567.3956668,+6.70750000E-05
381,-2.89565000E-05,1558949567.604,+6.70510000E-05
382,-2.91167000E-05,1558949567.8123333,+6.71870000E-05
383,-2.89432000E-05,1558949568.0206668,+6.70630000E-05
384,-2.89433000E-05,1558949568.229,+6.73230000E-05
385,-2.89765000E-05,1558949568.4373333,+6.70630000E-05
386,-2.90634000E-05,1558949568.6456668,+6.71620000E-05
387,-2.90165000E-05,1558949568.854,+6.67530000E-05
388,-2.89966000E-05,1558949569.0623333,+6.65680000E-05
389,-2.90299000E-05,1558949569.2706668,+6.66170000E-05
390,-2.89767000E-05,1558949569.479,+6.70010000E-05
391,-2.90299000E-05,1558949569.6873333,+6.67530000E-05
392,-2.90566000E-05,1558949569.8956668,+6.66170000E-05
393,-2.90432000E-05,1558949570.104,+6.68900000E-05
394,-2.91834000E-05,1558949570.3123333,+6.65430000E-05
395,-2.91100000E-05,1558949570.5206668,+6.66910000E-05
396,-2.91233000E-05,1558949570.729,+6.65430000E-05
397,-2.93370000E-05,1558949570.9373333,+6.66910000E-05
398,-2.92236000E-05,1558949571.1456668,+6.66170000E-05
399,-2.92702000E-05,1558949571.354,+6.68520000E-05
400,-2.93103000E-05,1558949574.953,+6.68280000E-05
401,-2.93502000E-05,1558949575.1613333,+6.68400000E-05
402,-2.93570000E-05,1558949575.3696668,+6.72120000E-05
403,-2.93838000E-05,1558949575.578,+6.71990000E-05
404,-2.93837000E-05,1558949575.7863333,+6.71750000E-05
405,-2.93102000E-05,1558949575.9946668,+6.66540000E-05
406,-2.93971000E-05,1558949576.203,+6.67290000E-05
407,-2.94371000E-05,1558949576.4113333,+6.67530000E-05
408,-2.93770000E-05,1558949576.6196668,+6.66910000E-05
409,-2.93704000E-05,1558949576.828,+6.63070000E-05
410,-2.93503000E-05,1558949577.0363333,+6.66790000E-05
411,-2.92636000E-05,1558949577.2446668,+6.68770000E-05
412,-2.92770000E-05,1558949577.453,+6.64190000E-05
413,-2.93436000E-05,1558949577.6613333,+6.65680000E-05
414,-2.91969000E-05,1558949577.8696668,+6.65550000E-05
415,-2.92168000E-05,1558949578.078,+6.66670000E-05
416,-2.92101000E-05,1558949578.2863333,+6.63570000E-05
417,-2.92903000E-05,1558949578.4946668,+6.66050000E-05
418,-2.93103000E-05,1558949578.703,+6.61710000E-05
419,-2.91702000E-05,1558949578.9113333,+6.64440000E-05
420,-2.91634000E-05,1558949579.1196668,+6.64190000E-05
421,-2.91767000E-05,1558949579.328,+6.63570000E-05
422,-2.91167000E-05,1558949579.5363333,+6.63820000E-05
423,-2.91100000E-05,1558949579.7446668,+6.63320000E-05
424,-2.91434000E-05,1558949579.953,+6.61830000E-05
425,-2.89498000E-05,1558949583.554,+6.60970000E-05
426,-2.90699000E-05,1558949583.7623332,+6.65180000E-05
427,-2.89565000E-05,1558949583.9706666,+6.69140000E-05
428,-2.91167000E-05,1558949584.179,+6.69390000E-05
429,-2.89498000E-05,1558949584.3873332,+6.66670000E-05
430,-2.89500000E-05,1558949584.5956666,+6.65430000E-05
431,-2.90366000E-05,1558949584.804,+6.64810000E-05
432,-2.89633000E-05,1558949585.0123332,+6.63200000E-05
433,-2.90434000E-05,1558949585.2206666,+6.62700000E-05
434,-2.89699000E-05,1558949585.429,+6.62580000E-05
435,-2.88832000E-05,1558949585.6373332,+6.63570000E-05
436,-2.89565000E-05,1558949585.8456666,+6.65680000E-05
437,-2.88765000E-05,1558949586.054,+6.64930000E-05
438,-2.89432000E-05,1558949586.2623332,+6.65800000E-05
439,-2.88898000E-05,1558949586.4706666,+6.63070000E-05
440,-2.88831000E-05,1558949586.679,+6.61090000E-05
441,-2.90100000E-05,1558949586.8873332,+6.61090000E-05
442,-2.90434000E-05,1558949587.0956666,+6.59480000E-05
443,-2.89031000E-05,1558949587.304,+6.62700000E-05
444,-2.90234000E-05,1558949587.5123332,+6.60720000E-05
