,SQUID_Volt(V),timestamp,Temp(V),SQUID_Curr(A)
202,+1.27955000E-06,1558906632.9286668,+1.35000000E-06,-1.39040500E-03
203,+1.31428000E-06,1558906633.137,+1.43700000E-06,-1.39034000E-03
204,+1.24549000E-06,1558906633.3453333,+1.42500000E-06,-1.39076900E-03
205,+1.27355000E-06,1558906633.5536668,+1.53600000E-06,-1.39102900E-03
206,+1.26152000E-06,1558906633.762,+1.43700000E-06,-1.39134100E-03
207,+1.28756000E-06,1558906633.9703333,+1.02800000E-06,-1.39192600E-03
208,+1.31962000E-06,1558906634.1786668,+1.82100000E-06,-1.39175700E-03
209,+1.35769000E-06,1558906634.387,+1.22700000E-06,-1.39196500E-03
210,+1.42447000E-06,1558906634.5953333,+1.48700000E-06,-1.39264100E-03
211,+1.37572000E-06,1558906634.8036668,+1.57300000E-06,-1.39268000E-03
212,+1.40644000E-06,1558906635.012,+1.40000000E-06,-1.39365600E-03
213,+1.43182000E-06,1558906635.2203333,+1.51100000E-06,-1.42845100E-03
214,+1.42380000E-06,1558906635.4286668,+1.63500000E-06,-1.42263900E-03
215,+1.42581000E-06,1558906635.637,+1.15200000E-06,-1.42299000E-03
216,+1.48257000E-06,1558906635.8453333,+1.51100000E-06,-1.42274300E-03
217,+1.48725000E-06,1558906636.0536668,+1.95800000E-06,-1.42318500E-03
218,+1.43783000E-06,1558906636.262,+1.18900000E-06,-1.42356200E-03
219,+1.56405000E-06,1558906636.4703333,+1.38800000E-06,-1.42417300E-03
220,+1.52598000E-06,1558906636.6786668,+1.25100000E-06,-1.42444600E-03
221,+1.51263000E-06,1558906636.887,+1.26400000E-06,-1.42484900E-03
222,+1.47990000E-06,1558906637.0953333,+1.93300000E-06,-1.45383300E-03
223,+1.49059000E-06,1558906637.3036668,+1.42500000E-06,-1.45653700E-03
224,+1.44918000E-06,1558906637.512,+1.53600000E-06,-1.45859200E-03
225,+1.37906000E-06,1558906641.111,+1.84600000E-06,-1.46050300E-03
226,+1.33298000E-06,1558906641.3193333,+1.58600000E-06,-1.46179000E-03
227,+1.37639000E-06,1558906641.5276668,+1.57300000E-06,-1.46257000E-03
228,+1.39442000E-06,1558906641.736,+1.31300000E-06,-1.46322100E-03
229,+1.37973000E-06,1558906641.9443333,+1.28800000E-06,-1.46432600E-03
230,+1.33164000E-06,1558906642.1526668,+1.73400000E-06,-1.46488500E-03
231,+1.36036000E-06,1558906642.361,+1.63500000E-06,-1.46532700E-03
232,+1.33097000E-06,1558906642.5693333,+1.28800000E-06,-1.46605500E-03
233,+1.35569000E-06,1558906642.7776668,+1.51100000E-06,-1.46636700E-03
234,+1.36704000E-06,1558906642.986,+1.71000000E-06,-1.46688700E-03
235,+1.35703000E-06,1558906643.1943333,+1.52400000E-06,-1.46732900E-03
236,+1.34233000E-06,1558906643.4026668,+1.71000000E-06,-1.46796700E-03
237,+1.26353000E-06,1558906643.611,+1.68500000E-06,-1.46856500E-03
238,+1.32297000E-06,1558906643.8193333,+1.47400000E-06,-1.46903300E-03
239,+1.33432000E-06,1558906644.0276668,+1.61100000E-06,-1.46918900E-03
240,+1.36237000E-06,1558906644.236,+1.33800000E-06,-1.46924100E-03
241,+1.32697000E-06,1558906644.4443333,+1.28800000E-06,-1.46987800E-03
242,+1.36704000E-06,1558906644.6526668,+1.54900000E-06,-1.47028100E-03
243,+1.36504000E-06,1558906644.861,+1.53600000E-06,-1.47058000E-03
244,+1.39041000E-06,1558906645.0693333,+1.66000000E-06,-1.47077500E-03
245,+1.41846000E-06,1558906645.2776668,+1.52400000E-06,-1.47130800E-03
246,+1.42581000E-06,1558906645.486,+1.43700000E-06,-1.47163300E-03
247,+1.40778000E-06,1558906645.6943333,+1.41200000E-06,-1.47185400E-03
248,+1.48992000E-06,1558906645.9026668,+1.78400000E-06,-1.47199700E-03
249,+1.48390000E-06,1558906646.111,+1.64800000E-06,-1.47210100E-03
250,+1.53934000E-06,1558906649.712,+1.35000000E-06,-1.47283000E-03
251,+1.56405000E-06,1558906649.9203331,+1.52400000E-06,-1.47283000E-03
252,+1.59010000E-06,1558906650.1286666,+1.66000000E-06,-1.47290800E-03
253,+1.59076000E-06,1558906650.337,+1.52400000E-06,-1.47348000E-03
254,+1.63551000E-06,1558906650.5453331,+1.28800000E-06,-1.47350600E-03
255,+1.61547000E-06,1558906650.7536666,+1.57300000E-06,-1.47363600E-03
256,+1.62082000E-06,1558906650.962,+1.73400000E-06,-1.47400000E-03
257,+1.61547000E-06,1558906651.1703331,+1.59800000E-06,-1.47384400E-03
258,+1.56405000E-06,1558906651.3786666,+1.53600000E-06,-1.47427300E-03
259,+1.60278000E-06,1558906651.587,+1.68500000E-06,-1.47439000E-03
260,+1.65488000E-06,1558906651.7953331,+1.23900000E-06,-1.47471500E-03
261,+1.60879000E-06,1558906652.0036666,+1.38800000E-06,-1.47489700E-03
262,+1.58408000E-06,1558906652.212,+1.52400000E-06,-1.47497500E-03
263,+1.60211000E-06,1558906652.4203331,+1.49900000E-06,-1.47524800E-03
264,+1.64018000E-06,1558906652.6286666,+1.57300000E-06,-1.47517000E-03
265,+1.60144000E-06,1558906652.837,+1.58600000E-06,-1.47537800E-03
266,+1.63484000E-06,1558906653.0453331,+1.40000000E-06,-1.47559900E-03
267,+1.69360000E-06,1558906653.2536666,+1.72200000E-06,-1.47574200E-03
268,+1.63083000E-06,1558906653.462,+1.26400000E-06,-1.47567700E-03
269,+1.69294000E-06,1558906653.6703331,+1.58600000E-06,-1.47617100E-03
270,+1.65087000E-06,1558906653.8786666,+1.66000000E-06,-1.47624900E-03
271,+1.61080000E-06,1558906654.087,+1.48700000E-06,-1.47626200E-03
272,+1.63417000E-06,1558906654.2953331,+1.72200000E-06,-1.47622300E-03
273,+1.68359000E-06,1558906654.5036666,+1.43700000E-06,-1.47653500E-03
274,+1.68960000E-06,1558906654.712,+1.73400000E-06,-1.47679500E-03
275,+1.75838000E-06,1558906658.311,+1.47400000E-06,-1.47691200E-03
276,+1.74369000E-06,1558906658.5193334,+1.38800000E-06,-1.47682100E-03
277,+1.79311000E-06,1558906658.7276669,+1.41200000E-06,-1.47708200E-03
278,+1.73234000E-06,1558906658.936,+1.30100000E-06,-1.47729000E-03
279,+1.78176000E-06,1558906659.1443334,+1.46200000E-06,-1.47723800E-03
280,+1.73234000E-06,1558906659.3526669,+1.38800000E-06,-1.47726400E-03
281,+1.76172000E-06,1558906659.561,+1.47400000E-06,-1.47770600E-03
282,+1.71631000E-06,1558906659.7693334,+1.77200000E-06,-1.47766700E-03
283,+1.72767000E-06,1558906659.9776669,+1.22700000E-06,-1.47771900E-03
284,+1.66089000E-06,1558906660.186,+1.61100000E-06,-1.47794000E-03
285,+1.72900000E-06,1558906660.3943334,+1.23900000E-06,-1.47782300E-03
