,Temp(V),timestamp
2075,+1.46130460E+00,1558939663.239
2076,+1.46120180E+00,1558939663.4473333
2077,+1.46108770E+00,1558939663.6556668
2078,+1.46114970E+00,1558939663.864
2079,+1.46104060E+00,1558939664.0723333
2080,+1.46100720E+00,1558939664.2806668
2081,+1.46095010E+00,1558939664.489
2082,+1.46072950E+00,1558939664.6973333
2083,+1.46071830E+00,1558939664.9056668
2084,+1.46066380E+00,1558939665.114
2085,+1.46077910E+00,1558939665.3223333
2086,+1.46147940E+00,1558939665.5306668
2087,+1.46419150E+00,1558939665.739
2088,+1.47097060E+00,1558939665.9473333
2089,+1.48094500E+00,1558939666.1556668
2090,+1.48633320E+00,1558939666.364
2091,+1.48684890E+00,1558939666.5723333
2092,+1.48955230E+00,1558939666.7806668
2093,+1.49518470E+00,1558939666.989
2094,+1.50066090E+00,1558939667.1973333
2095,+1.50690440E+00,1558939667.4056668
2096,+1.50993380E+00,1558939667.614
2097,+1.51029450E+00,1558939667.8223333
2098,+1.51086970E+00,1558939668.0306668
2099,+1.51295700E+00,1558939668.239
2100,+1.51574220E+00,1558939671.839
2101,+1.51732760E+00,1558939672.0473332
2102,+1.51976320E+00,1558939672.2556667
2103,+1.52125690E+00,1558939672.464
2104,+1.52248150E+00,1558939672.6723332
2105,+1.52295130E+00,1558939672.8806667
2106,+1.52321660E+00,1558939673.089
2107,+1.52329960E+00,1558939673.2973332
2108,+1.52305050E+00,1558939673.5056667
2109,+1.52275790E+00,1558939673.714
2110,+1.52277650E+00,1558939673.9223332
2111,+1.52281370E+00,1558939674.1306667
2112,+1.52283600E+00,1558939674.339
2113,+1.52285460E+00,1558939674.5473332
2114,+1.52287820E+00,1558939674.7556667
2115,+1.52287690E+00,1558939674.964
2116,+1.52282980E+00,1558939675.1723332
2117,+1.52280380E+00,1558939675.3806667
2118,+1.52283360E+00,1558939675.589
2119,+1.52285210E+00,1558939675.7973332
2120,+1.52284590E+00,1558939676.0056667
2121,+1.52280380E+00,1558939676.214
2122,+1.52279640E+00,1558939676.4223332
2123,+1.52280500E+00,1558939676.6306667
2124,+1.52280130E+00,1558939676.839
2125,+1.52280130E+00,1558939680.439
2126,+1.52281000E+00,1558939680.6473331
2127,+1.52280380E+00,1558939680.8556666
2128,+1.52279510E+00,1558939681.064
2129,+1.52278270E+00,1558939681.2723331
2130,+1.52277650E+00,1558939681.4806666
2131,+1.52277900E+00,1558939681.689
2132,+1.52277530E+00,1558939681.8973331
2133,+1.52277900E+00,1558939682.1056666
2134,+1.52277280E+00,1558939682.314
2135,+1.52275790E+00,1558939682.5223331
