,Temp(V),timestamp
5389,+1.55643090E+00,1558911758.2436666
5390,+1.55643710E+00,1558911758.452
5391,+1.55642970E+00,1558911758.6603332
5392,+1.55640860E+00,1558911758.8686666
5393,+1.55641110E+00,1558911759.077
5394,+1.55641480E+00,1558911759.2853332
5395,+1.55640610E+00,1558911759.4936666
5396,+1.55640980E+00,1558911759.702
5397,+1.55639490E+00,1558911759.9103332
5398,+1.55641600E+00,1558911760.1186666
5399,+1.55641230E+00,1558911760.327
5400,+1.55640980E+00,1558911763.927
5401,+1.55639870E+00,1558911764.1353333
5402,+1.55638010E+00,1558911764.3436668
5403,+1.55639120E+00,1558911764.552
5404,+1.55639000E+00,1558911764.7603333
5405,+1.55639870E+00,1558911764.9686668
5406,+1.55641600E+00,1558911765.177
5407,+1.55642100E+00,1558911765.3853333
5408,+1.55640110E+00,1558911765.5936668
5409,+1.55639120E+00,1558911765.802
5410,+1.55637140E+00,1558911766.0103333
5411,+1.55636890E+00,1558911766.2186668
5412,+1.55637140E+00,1558911766.427
5413,+1.55636890E+00,1558911766.6353333
5414,+1.55639990E+00,1558911766.8436668
5415,+1.55639870E+00,1558911767.052
5416,+1.55638750E+00,1558911767.2603333
5417,+1.55637880E+00,1558911767.4686668
5418,+1.55637260E+00,1558911767.677
5419,+1.55637020E+00,1558911767.8853333
5420,+1.55637140E+00,1558911768.0936668
5421,+1.55636520E+00,1558911768.302
5422,+1.55637880E+00,1558911768.5103333
5423,+1.55637760E+00,1558911768.7186668
5424,+1.55636150E+00,1558911768.927
5425,+1.55638010E+00,1558911772.527
5426,+1.55636270E+00,1558911772.7353332
5427,+1.55636270E+00,1558911772.9436667
5428,+1.55634780E+00,1558911773.152
5429,+1.55633170E+00,1558911773.3603332
5430,+1.55635030E+00,1558911773.5686667
5431,+1.55636400E+00,1558911773.777
5432,+1.55636640E+00,1558911773.9853332
5433,+1.55636640E+00,1558911774.1936667
5434,+1.55635280E+00,1558911774.402
5435,+1.55634780E+00,1558911774.6103332
5436,+1.55634780E+00,1558911774.8186667
5437,+1.55633670E+00,1558911775.027
5438,+1.55635280E+00,1558911775.2353332
5439,+1.55634780E+00,1558911775.4436667
5440,+1.55634660E+00,1558911775.652
5441,+1.55634410E+00,1558911775.8603332
5442,+1.55634410E+00,1558911776.0686667
5443,+1.55633920E+00,1558911776.277
5444,+1.55633790E+00,1558911776.4853332
5445,+1.55632310E+00,1558911776.6936667
5446,+1.55633420E+00,1558911776.902
5447,+1.55633420E+00,1558911777.1103332
5448,+1.55631440E+00,1558911777.3186667
5449,+1.55632310E+00,1558911777.527
5450,+1.55630820E+00,1558911781.127
5451,+1.55632060E+00,1558911781.3353333
5452,+1.55632310E+00,1558911781.5436668
5453,+1.55630690E+00,1558911781.752
5454,+1.55630690E+00,1558911781.9603333
5455,+1.55630570E+00,1558911782.1686668
5456,+1.55631310E+00,1558911782.377
5457,+1.55631930E+00,1558911782.5853333
5458,+1.55631930E+00,1558911782.7936668
5459,+1.55633050E+00,1558911783.002
5460,+1.55632930E+00,1558911783.2103333
5461,+1.55631190E+00,1558911783.4186668
5462,+1.55631070E+00,1558911783.627
5463,+1.55630940E+00,1558911783.8353333
5464,+1.55629830E+00,1558911784.0436668
5465,+1.55630450E+00,1558911784.252
5466,+1.55629580E+00,1558911784.4603333
5467,+1.55629450E+00,1558911784.6686668
5468,+1.55629950E+00,1558911784.877
5469,+1.55628960E+00,1558911785.0853333
5470,+1.55630320E+00,1558911785.2936668
5471,+1.55630070E+00,1558911785.502
5472,+1.55628220E+00,1558911785.7103333
5473,+1.55628340E+00,1558911785.9186668
5474,+1.55628590E+00,1558911786.127
5475,+1.55628960E+00,1558911789.728
5476,+1.55629580E+00,1558911789.9363332
5477,+1.55628220E+00,1558911790.1446667
5478,+1.55628090E+00,1558911790.353
5479,+1.55627470E+00,1558911790.5613332
5480,+1.55626600E+00,1558911790.7696667
5481,+1.55627100E+00,1558911790.978
5482,+1.55626110E+00,1558911791.1863332
5483,+1.55627600E+00,1558911791.3946667
5484,+1.55627600E+00,1558911791.603
5485,+1.55625980E+00,1558911791.8113332
5486,+1.55626730E+00,1558911792.0196667
5487,+1.55626980E+00,1558911792.228
5488,+1.55626480E+00,1558911792.4363332
5489,+1.55627470E+00,1558911792.6446667
5490,+1.55627220E+00,1558911792.853
5491,+1.55626980E+00,1558911793.0613332
5492,+1.55626980E+00,1558911793.2696667
5493,+1.55624870E+00,1558911793.478
5494,+1.55625610E+00,1558911793.6863332
5495,+1.55625490E+00,1558911793.8946667
5496,+1.55624620E+00,1558911794.103
5497,+1.55626110E+00,1558911794.3113332
5498,+1.55626110E+00,1558911794.5196667
5499,+1.55625120E+00,1558911794.728
5500,+1.55624370E+00,1558911798.327
5501,+1.55623630E+00,1558911798.5353332
5502,+1.55624740E+00,1558911798.7436666
5503,+1.55624370E+00,1558911798.952
5504,+1.55624370E+00,1558911799.1603332
5505,+1.55624740E+00,1558911799.3686666
5506,+1.55623500E+00,1558911799.577
5507,+1.55623500E+00,1558911799.7853332
5508,+1.55624120E+00,1558911799.9936666
5509,+1.55623010E+00,1558911800.202
5510,+1.55623880E+00,1558911800.4103332
5511,+1.55623260E+00,1558911800.6186666
5512,+1.55622640E+00,1558911800.827
5513,+1.55623010E+00,1558911801.0353332
5514,+1.55622760E+00,1558911801.2436666
5515,+1.55623500E+00,1558911801.452
5516,+1.55623630E+00,1558911801.6603332
5517,+1.55622020E+00,1558911801.8686666
5518,+1.55622390E+00,1558911802.077
5519,+1.55622760E+00,1558911802.2853332
5520,+1.55621150E+00,1558911802.4936666
5521,+1.55622890E+00,1558911802.702
5522,+1.55622390E+00,1558911802.9103332
5523,+1.55621770E+00,1558911803.1186666
5524,+1.55621520E+00,1558911803.327
5525,+1.55620280E+00,1558911806.928
5526,+1.55620900E+00,1558911807.1363332
5527,+1.55620780E+00,1558911807.3446667
