,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A)
187,-4.20971000E-05,1558931608.263,+1.57060860E+00,,
188,-4.19970000E-05,1558931608.4713333,+1.57060980E+00,,
189,-4.25442000E-05,1558931608.6796668,+1.57061110E+00,,
190,-4.22706000E-05,1558931608.888,+1.57060980E+00,,
191,-4.26511000E-05,1558931609.0963333,+1.57060610E+00,,
192,-4.20371000E-05,1558931609.3046668,+1.57060980E+00,,
193,-4.24775000E-05,1558931609.513,+1.57060860E+00,,
194,-4.23306000E-05,1558931609.7213333,+1.57060860E+00,,
195,-4.24908000E-05,1558931609.9296668,+1.57060980E+00,,
196,-4.25643000E-05,1558931610.138,+1.57060730E+00,,
197,-4.28979000E-05,1558931610.3463333,+1.57060980E+00,,
198,-4.20037000E-05,1558931610.5546668,+1.57060980E+00,,
199,-4.22306000E-05,1558931610.763,+1.57060730E+00,,
200,-4.24374000E-05,1558931614.364,+1.57060860E+00,,
201,-4.19236000E-05,1558931614.5723333,+1.57060730E+00,,
202,-4.20505000E-05,1558931614.7806668,+1.57060490E+00,,
203,-4.27111000E-05,1558931614.989,+1.57060240E+00,,
204,-4.18903000E-05,1558931615.1973333,+1.57060610E+00,,
205,-4.24308000E-05,1558931615.4056668,+1.57060730E+00,,
206,-4.17301000E-05,1558931615.614,+1.57060490E+00,,
207,-4.23374000E-05,1558931615.8223333,+1.57060490E+00,,
208,-4.21372000E-05,1558931616.0306668,+1.57060730E+00,,
209,-4.21505000E-05,1558931616.239,+1.57060490E+00,,
210,-4.22639000E-05,1558931616.4473333,+1.57060360E+00,,
211,-4.25042000E-05,1558931616.6556668,+1.57060730E+00,,
212,-4.18235000E-05,1558931616.864,+1.57060490E+00,,
213,-4.20905000E-05,1558931617.0723333,+1.57060360E+00,,
214,-4.18834000E-05,1558931617.2806668,+1.57060120E+00,,
215,-4.19036000E-05,1558931617.489,+1.57060610E+00,,
216,-4.17233000E-05,1558931617.6973333,+1.57060240E+00,,
217,-4.19036000E-05,1558931617.9056668,+1.57060860E+00,,
218,-4.13296000E-05,1558931618.114,+1.57060860E+00,,
219,-4.21037000E-05,1558931618.3223333,+1.57060730E+00,,
220,-4.24441000E-05,1558931618.5306668,+1.57060610E+00,,
221,-4.24041000E-05,1558931618.739,+1.57060730E+00,,
222,-4.22039000E-05,1558931618.9473333,+1.57060610E+00,,
223,-4.19837000E-05,1558931619.1556668,+1.57060490E+00,,
224,-4.24574000E-05,1558931619.364,+1.57060610E+00,,
225,-4.18502000E-05,1558931622.964,+1.57060610E+00,,
226,-4.25109000E-05,1558931623.1723332,+1.57060360E+00,,
227,-4.22707000E-05,1558931623.3806667,+1.57060360E+00,,
228,-4.26911000E-05,1558931623.589,+1.57060610E+00,,
229,-4.25308000E-05,1558931623.7973332,+1.57060490E+00,,
230,-4.20369000E-05,1558931624.0056667,+1.57060490E+00,,
231,-4.23908000E-05,1558931624.214,+1.57060360E+00,,
232,-4.23840000E-05,1558931624.4223332,+1.57060730E+00,,
233,-4.22906000E-05,1558931624.6306667,+1.57060610E+00,,
234,-4.22306000E-05,1558931624.839,+1.57060490E+00,,
235,-4.23774000E-05,1558931625.0473332,+1.57060240E+00,,
236,-4.21571000E-05,1558931625.2556667,+1.57060610E+00,,
237,-4.24174000E-05,1558931625.464,+1.57060360E+00,,
