,SQUID_Volt(V),timestamp,Temp(V)
198,+2.40351000E-06,1558936125.6386666,+1.54319030E+00
199,+2.45826000E-06,1558936125.847,+1.54319280E+00
200,+2.39148000E-06,1558936129.446,+1.54324610E+00
201,+2.28998000E-06,1558936129.6543334,+1.54328450E+00
202,+2.37546000E-06,1558936129.8626668,+1.54336880E+00
203,+2.37345000E-06,1558936130.071,+1.54340720E+00
204,+2.36677000E-06,1558936130.2793334,+1.54344810E+00
205,+2.43089000E-06,1558936130.4876668,+1.54344070E+00
206,+2.40952000E-06,1558936130.696,+1.54339360E+00
207,+2.45158000E-06,1558936130.9043334,+1.54335270E+00
208,+2.39817000E-06,1558936131.1126668,+1.54335270E+00
209,+2.38948000E-06,1558936131.321,+1.54337250E+00
210,+2.42688000E-06,1558936131.5293334,+1.54338860E+00
211,+2.38347000E-06,1558936131.7376668,+1.54340600E+00
212,+2.39215000E-06,1558936131.946,+1.54337250E+00
213,+2.38614000E-06,1558936132.1543334,+1.54335270E+00
214,+2.36878000E-06,1558936132.3626668,+1.54335140E+00
215,+2.39081000E-06,1558936132.571,+1.54335760E+00
216,+2.41152000E-06,1558936132.7793334,+1.54337620E+00
217,+2.41353000E-06,1558936132.9876668,+1.54342700E+00
218,+2.41085000E-06,1558936133.196,+1.54349770E+00
219,+2.40418000E-06,1558936133.4043334,+1.54346790E+00
220,+2.45025000E-06,1558936133.6126668,+1.54349520E+00
221,+2.46360000E-06,1558936133.821,+1.54342700E+00
222,+2.46494000E-06,1558936134.0293334,+1.54332790E+00
223,+2.47163000E-06,1558936134.2376668,+1.54333900E+00
224,+2.50769000E-06,1558936134.446,+1.54326220E+00
225,+2.60251000E-06,1558936138.047,+1.54322500E+00
226,+2.60119000E-06,1558936138.2553332,+1.54321760E+00
227,+2.57313000E-06,1558936138.4636667,+1.54322370E+00
228,+2.65060000E-06,1558936138.672,+1.54322870E+00
229,+2.60986000E-06,1558936138.8803332,+1.54322870E+00
230,+2.61587000E-06,1558936139.0886667,+1.54319900E+00
231,+2.61387000E-06,1558936139.297,+1.54317290E+00
232,+2.61721000E-06,1558936139.5053332,+1.54315560E+00
233,+2.66997000E-06,1558936139.7136667,+1.54314940E+00
234,+2.69000000E-06,1558936139.922,+1.54316670E+00
235,+2.73074000E-06,1558936140.1303332,+1.54322000E+00
236,+2.68132000E-06,1558936140.3386667,+1.54326840E+00
237,+2.70670000E-06,1558936140.547,+1.54330930E+00
238,+2.70403000E-06,1558936140.7553332,+1.54331180E+00
239,+2.71871000E-06,1558936140.9636667,+1.54330430E+00
240,+2.72406000E-06,1558936141.172,+1.54331670E+00
241,+2.68933000E-06,1558936141.3803332,+1.54334400E+00
242,+2.67731000E-06,1558936141.5886667,+1.54337250E+00
243,+2.70537000E-06,1558936141.797,+1.54341220E+00
244,+2.68867000E-06,1558936142.0053332,+1.54341840E+00
245,+2.63190000E-06,1558936142.2136667,+1.54339730E+00
246,+2.64927000E-06,1558936142.422,+1.54341710E+00
247,+2.64125000E-06,1558936142.6303332,+1.54336630E+00
248,+2.65794000E-06,1558936142.8386667,+1.54332420E+00
249,+2.64526000E-06,1558936143.047,+1.54333030E+00
250,+2.54575000E-06,1558936146.646,+1.54354480E+00
251,+2.54041000E-06,1558936146.8543332,+1.54358070E+00
252,+2.45493000E-06,1558936147.0626667,+1.54360180E+00
253,+2.46828000E-06,1558936147.271,+1.54347910E+00
254,+2.46294000E-06,1558936147.4793332,+1.54354350E+00
255,+2.40083000E-06,1558936147.6876667,+1.54360180E+00
256,+2.39682000E-06,1558936147.896,+1.54348780E+00
257,+2.39349000E-06,1558936148.1043332,+1.54340100E+00
258,+2.37679000E-06,1558936148.3126667,+1.54333030E+00
259,+2.28330000E-06,1558936148.521,+1.54333410E+00
260,+2.33739000E-06,1558936148.7293332,+1.54328200E+00
261,+2.31335000E-06,1558936148.9376667,+1.54323120E+00
262,+2.34407000E-06,1558936149.146,+1.54321140E+00
263,+2.28930000E-06,1558936149.3543332,+1.54320640E+00
264,+2.30934000E-06,1558936149.5626667,+1.54320760E+00
265,+2.34807000E-06,1558936149.771,+1.54324360E+00
266,+2.31869000E-06,1558936149.9793332,+1.54325350E+00
267,+2.32136000E-06,1558936150.1876667,+1.54327090E+00
268,+4.09844200E-04,1558936150.396,+1.54327700E+00
269,-7.11556540E-04,1558936150.6043332,+1.54323120E+00
270,+2.29398000E-06,1558936150.8126667,+1.54326090E+00
271,+1.95384000E-03,1558936151.021,+1.54326470E+00
272,+1.11987000E-04,1558936151.2293332,+1.54327580E+00
273,+1.90879000E-04,1558936151.4376667,+1.54329940E+00
274,-8.08500000E-05,1558936151.646,+1.54331180E+00
275,-8.30700000E-06,1558936155.246,+1.54331920E+00
276,+1.50620000E-05,1558936155.4543333,+1.54331920E+00
277,+3.75170000E-03,1558936155.6626668,+1.54330180E+00
278,+1.97356000E-03,1558936155.871,+1.54327830E+00
279,-1.64060600E-02,1558936156.0793333,+1.54326340E+00
280,+1.57737200E-02,1558936156.2876668,+1.54326590E+00
281,-8.25953000E-03,1558936156.496,+1.54329440E+00
282,+1.75186900E-02,1558936156.7043333,+1.54331300E+00
283,-1.29959800E-02,1558936156.9126668,+1.54326090E+00
284,-1.57466600E-02,1558936157.121,+1.54312580E+00
285,-8.69440000E-03,1558936157.3293333,+1.54322000E+00
286,-3.77244900E-02,1558936157.5376668,+1.54322990E+00
287,+5.85443000E-03,1558936157.746,+1.54324610E+00
288,-8.90610000E-03,1558936157.9543333,+1.54327460E+00
289,-4.14327000E-03,1558936158.1626668,+1.54329810E+00
290,-2.11492000E-03,1558936158.371,+1.54331550E+00
291,+8.02753000E-03,1558936158.5793333,+1.54331300E+00
292,+1.54105100E-02,1558936158.7876668,+1.54331670E+00
293,-1.70817400E-02,1558936158.996,+1.54335390E+00
294,+2.38952000E-03,1558936159.2043333,+1.54336010E+00
295,-1.57223400E-02,1558936159.4126668,+1.54337370E+00
296,-2.26000700E-02,1558936159.621,+1.54337250E+00
297,-1.01587100E-02,1558936159.8293333,+1.54337250E+00
298,+4.94400000E-04,1558936160.0376668,+1.54337870E+00
299,+3.97557000E-03,1558936160.246,+1.54372450E+00
300,+1.19719800E-02,1558936163.846,+1.54396620E+00
301,-1.43250200E-02,1558936164.0543332,+1.54454760E+00
302,-9.11240000E-03,1558936164.2626667,+1.54458350E+00
303,-1.18542900E-02,1558936164.471,+1.54472850E+00
304,+5.60691000E-03,1558936164.6793332,+1.54476320E+00
305,-2.48895000E-03,1558936164.8876667,+1.54474460E+00
306,+2.18324000E-03,1558936165.096,+1.54473100E+00
307,+1.51838000E-03,1558936165.3043332,+1.54433440E+00
308,-1.90776800E-02,1558936165.5126667,+1.54370100E+00
309,+1.63445700E-02,1558936165.721,+1.54328940E+00
310,-1.94084100E-02,1558936165.9293332,+1.54270810E+00
311,-6.90392600E-05,1558936166.1376667,+1.54248250E+00
312,-3.47985000E-05,1558936166.346,+1.54229160E+00
313,-2.18740300E-05,1558936166.5543332,+1.54244900E+00
314,-1.90664500E-05,1558936166.7626667,+1.54232630E+00
315,-1.92782000E-05,1558936166.971,+1.54184790E+00
316,-1.90705100E-05,1558936167.1793332,+1.54103970E+00
317,-1.90177400E-05,1558936167.3876667,+1.54048690E+00
318,-1.86791600E-05,1558936167.596,+1.53951380E+00
319,-1.95673600E-05,1558936167.8043332,+1.53848260E+00
320,-1.88955400E-05,1558936168.0126667,+1.53759630E+00
321,-1.87432600E-05,1558936168.221,+1.53707820E+00
322,-1.89990500E-05,1558936168.4293332,+1.53628490E+00
323,-1.88280800E-05,1558936168.6376667,+1.53488420E+00
324,-1.88828400E-05,1558936168.846,+1.53390500E+00
325,-4.67793100E-05,1558936172.446,+1.53223540E+00
326,-3.61134300E-05,1558936172.6543334,+1.53139740E+00
327,-3.37172600E-05,1558936172.8626668,+1.53083220E+00
328,-3.46902900E-05,1558936173.071,+1.53023970E+00
329,-3.49400800E-05,1558936173.2793334,+1.52988650E+00
330,-3.47056800E-05,1558936173.4876668,+1.52945140E+00
331,-3.73135400E-05,1558936173.696,+1.52891590E+00
332,-3.52032200E-05,1558936173.9043334,+1.52833830E+00
333,-3.44372100E-05,1558936174.1126668,+1.52508580E+00
334,-3.54569900E-05,1558936174.321,+1.50258470E+00
335,-3.51511300E-05,1558936174.5293334,+1.48699640E+00
336,-3.71786500E-05,1558936174.7376668,+1.49380260E+00
337,-3.56840500E-05,1558936174.946,+1.49624200E+00
338,-3.91180100E-05,1558936175.1543334,+1.49528140E+00
339,-3.63879500E-05,1558936175.3626668,+1.49428730E+00
340,-3.95828200E-05,1558936175.571,+1.49308370E+00
341,-3.96262300E-05,1558936175.7793334,+1.49222470E+00
342,-3.64300100E-05,1558936175.9876668,+1.49244290E+00
343,-3.79827000E-05,1558936176.196,+1.49232140E+00
344,-3.95875000E-05,1558936176.4043334,+1.49195450E+00
345,-3.77636500E-05,1558936176.6126668,+1.49151820E+00
346,-3.73629700E-05,1558936176.821,+1.49149340E+00
347,-3.94132000E-05,1558936177.0293334,+1.49138180E+00
348,-3.85116300E-05,1558936177.2376668,+1.49132850E+00
349,-3.99113900E-05,1558936177.446,+1.49128760E+00
350,-3.97891700E-05,1558936181.046,+1.49103350E+00
351,-3.93604300E-05,1558936181.2543333,+1.49121820E+00
352,-3.95187200E-05,1558936181.4626667,+1.49140040E+00
353,-4.29179700E-05,1558936181.671,+1.49148840E+00
354,-4.29526900E-05,1558936181.8793333,+1.49177850E+00
355,-4.28304800E-05,1558936182.0876667,+1.49218260E+00
356,-4.00082200E-05,1558936182.296,+1.49219250E+00
357,-4.00750100E-05,1558936182.5043333,+1.49235860E+00
358,-4.01858600E-05,1558936182.7126667,+1.49257550E+00
359,-4.02773500E-05,1558936182.921,+1.49283210E+00
360,-4.01524400E-05,1558936183.1293333,+1.49311470E+00
361,-3.99754700E-05,1558936183.3376667,+1.49321630E+00
362,-3.98519100E-05,1558936183.546,+1.49344810E+00
363,-3.98051800E-05,1558936183.7543333,+1.49366750E+00
364,-4.28765300E-05,1558936183.9626667,+1.49393400E+00
365,-4.23355900E-05,1558936184.171,+1.49427610E+00
366,-4.24331000E-05,1558936184.3793333,+1.49295480E+00
367,-4.26220800E-05,1558936184.5876667,+1.49157770E+00
368,-4.25907000E-05,1558936184.796,+1.49087240E+00
369,-4.21659600E-05,1558936185.0043333,+1.48769800E+00
370,-4.28164300E-05,1558936185.2126667,+1.46607560E+00
371,-4.25973900E-05,1558936185.421,+1.41926610E+00
372,-4.27757000E-05,1558936185.6293333,+1.38482470E+00
373,-4.01705000E-05,1558936185.8376667,+1.37178240E+00
374,-4.10019500E-05,1558936186.046,+1.36958220E+00
375,-5.96092540E-03,1558936189.646,+1.36698290E+00
376,-5.96115260E-03,1558936189.8543332,+1.36607560E+00
377,-5.96213120E-03,1558936190.0626667,+1.36534430E+00
378,-5.96211950E-03,1558936190.271,+1.36414320E+00
379,-5.96270430E-03,1558936190.4793332,+1.36248330E+00
380,-5.96336300E-03,1558936190.6876667,+1.36123260E+00
381,-5.96331260E-03,1558936190.896,+1.36002030E+00
382,-5.96407810E-03,1558936191.1043332,+1.35887250E+00
383,-5.96456570E-03,1558936191.3126667,+1.35800110E+00
384,-5.96215940E-03,1558936191.521,+1.35740990E+00
385,-5.96441460E-03,1558936191.7293332,+1.35558280E+00
386,-5.96538200E-03,1558936191.9376667,+1.35034710E+00
387,-5.96479500E-03,1558936192.146,+1.34204600E+00
388,-5.96429390E-03,1558936192.3543332,+1.33712630E+00
389,-5.96461900E-03,1558936192.5626667,+1.33615700E+00
390,-5.96577430E-03,1558936192.771,+1.33442290E+00
391,-5.96759380E-03,1558936192.9793332,+1.32821160E+00
392,-5.96662080E-03,1558936193.1876667,+1.31367070E+00
393,-5.96793030E-03,1558936193.396,+1.30352400E+00
394,-5.96959670E-03,1558936193.6043332,+1.29365240E+00
395,-5.97026660E-03,1558936193.8126667,+1.28963760E+00
396,-5.96870580E-03,1558936194.021,+1.28736180E+00
397,-5.96991910E-03,1558936194.2293332,+1.28507490E+00
398,-5.96985320E-03,1558936194.4376667,+1.28220540E+00
399,-5.97359210E-03,1558936194.646,+1.27938300E+00
400,-5.98840180E-03,1558936198.246,+1.27289280E+00
401,-5.98992110E-03,1558936198.4543333,+1.26948790E+00
402,-5.99159830E-03,1558936198.6626668,+1.26677080E+00
403,-5.99170570E-03,1558936198.871,+1.26474050E+00
404,-5.99451750E-03,1558936199.0793333,+1.26321340E+00
405,-5.99451880E-03,1558936199.2876668,+1.26188210E+00
406,-5.99561500E-03,1558936199.496,+1.26101690E+00
407,-5.99746500E-03,1558936199.7043333,+1.26057200E+00
408,-5.99622570E-03,1558936199.9126668,+1.26043810E+00
409,-5.99806440E-03,1558936200.121,+1.26007240E+00
410,-5.99912330E-03,1558936200.3293333,+1.25952700E+00
411,-5.99935790E-03,1558936200.5376668,+1.25901390E+00
412,-6.00114240E-03,1558936200.746,+1.25872010E+00
413,-5.99980810E-03,1558936200.9543333,+1.25840770E+00
414,-6.00253580E-03,1558936201.1626668,+1.25806530E+00
415,-6.00177210E-03,1558936201.371,+1.25775050E+00
416,-6.00265280E-03,1558936201.5793333,+1.25745800E+00
417,-6.00430030E-03,1558936201.7876668,+1.25719890E+00
418,-6.00405070E-03,1558936201.996,+1.25689520E+00
419,-6.00391540E-03,1558936202.2043333,+1.25663240E+00
420,-6.00590710E-03,1558936202.4126668,+1.25649360E+00
421,-6.00493670E-03,1558936202.621,+1.25624200E+00
422,-6.00857060E-03,1558936202.8293333,+1.25628290E+00
423,-6.00574460E-03,1558936203.0376668,+1.25554040E+00
424,-6.00680790E-03,1558936203.246,+1.25397610E+00
425,-6.01662980E-03,1558936206.846,+1.25037660E+00
426,-8.17459400E-03,1558936207.0543332,+1.24495490E+00
427,-6.22316600E-03,1558936207.2626667,+1.24107390E+00
428,-6.07189100E-03,1558936207.471,+1.23789080E+00
429,-6.03450700E-03,1558936207.6793332,+1.23395280E+00
430,-6.03439500E-03,1558936207.8876667,+1.23028630E+00
431,-6.03150900E-03,1558936208.096,+1.22736350E+00
432,-6.02992600E-03,1558936208.3043332,+1.22416310E+00
433,-6.02877600E-03,1558936208.5126667,+1.22019290E+00
434,-6.02876300E-03,1558936208.721,+1.21667630E+00
435,-6.03064500E-03,1558936208.9293332,+1.21442910E+00
436,-6.03014700E-03,1558936209.1376667,+1.21278670E+00
437,-6.03173200E-03,1558936209.346,+1.21134140E+00
438,-6.03287800E-03,1558936209.5543332,+1.20941020E+00
439,-6.03327700E-03,1558936209.7626667,+1.20594200E+00
440,-6.03507500E-03,1558936209.971,+1.20112900E+00
441,+1.01852600E-03,1558936210.1793332,+1.19731250E+00
442,+1.96808000E-06,1558936210.3876667,+1.19370050E+00
443,+7.98720000E-07,1558936210.596,+1.19061280E+00
444,+1.53333000E-06,1558936210.8043332,+1.18787600E+00
445,+5.34270000E-07,1558936211.0126667,+1.18538700E+00
446,+1.37038000E-06,1558936211.221,+1.18316200E+00
447,+1.52064000E-06,1558936211.4293332,+1.18135360E+00
448,+1.78109000E-06,1558936211.6376667,+1.17965790E+00
449,+1.03379000E-06,1558936211.846,+1.17805400E+00
450,+1.60345000E-06,1558936215.446,+1.17574100E+00
451,+1.55470000E-06,1558936215.6543334,+1.17441220E+00
452,+1.55269000E-06,1558936215.8626668,+1.17319130E+00
453,+1.75037000E-06,1558936216.071,+1.17206830E+00
454,+1.78109000E-06,1558936216.2793334,+1.17099980E+00
455,+1.78510000E-06,1558936216.4876668,+1.16997470E+00
456,+1.74903000E-06,1558936216.696,+1.16901160E+00
457,+1.75371000E-06,1558936216.9043334,+1.16809680E+00
458,+1.78243000E-06,1558936217.1126668,+1.16723540E+00
