,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
192,+3.08135600E-05,1559381112.3086667,+1.57100520E+00,,3.0279082146768896e-05,4.8656147783251236e-05
193,+3.07795100E-05,1559381112.517,+1.57100770E+00,,3.027987842278204e-05,4.865858128078818e-05
194,+3.07968700E-05,1559381112.7253332,+1.57100400E+00,,3.0279531215772182e-05,4.865922167487685e-05
195,+3.07915100E-05,1559381112.9336667,+1.57100520E+00,,3.0279184008762325e-05,4.8661399014778325e-05
196,+3.07414300E-05,1559381113.142,+1.57100650E+00,,3.0279039430449068e-05,4.8661142857142864e-05
197,+3.07768200E-05,1559381113.3503332,+1.57100770E+00,,3.0278923329682366e-05,4.865947783251232e-05
198,+3.07568000E-05,1559381113.5586667,+1.57100520E+00,,3.0278619934282586e-05,4.8657044334975366e-05
199,+3.07868500E-05,1559381113.767,+1.57100520E+00,,3.0279212486308872e-05,4.865909359605911e-05
200,+3.08810100E-05,1559381117.367,+1.57100280E+00,,3.0278750273822562e-05,4.865627586206897e-05
201,+3.08836900E-05,1559381117.5753334,+1.57099900E+00,,3.0279198247535598e-05,4.865730049261084e-05
202,+3.08790100E-05,1559381117.7836668,+1.57099530E+00,,3.0279184008762325e-05,4.865922167487685e-05
203,+3.09143900E-05,1559381117.992,+1.57099900E+00,,3.0279039430449068e-05,4.865819704433498e-05
204,+3.09838500E-05,1559381118.2003334,+1.57100030E+00,,3.027885104052574e-05,4.865755665024631e-05
205,+3.08649800E-05,1559381118.4086668,+1.57100150E+00,,3.0278865279299014e-05,4.865947783251232e-05
206,+3.09745000E-05,1559381118.617,+1.57100400E+00,,3.0279111719605693e-05,4.865947783251232e-05
207,+3.09123900E-05,1559381118.8253334,+1.57100770E+00,,3.0279125958378967e-05,4.865576354679803e-05
208,+3.09564700E-05,1559381119.0336668,+1.57100400E+00,,3.0279386637458926e-05,4.865717241379311e-05
209,+3.09190800E-05,1559381119.242,+1.57100650E+00,,3.0279039430449068e-05,4.865755665024631e-05
210,+3.09564700E-05,1559381119.4503334,+1.57100900E+00,,3.0279039430449068e-05,4.865730049261084e-05
211,+3.09718400E-05,1559381119.6586668,+1.57100900E+00,,3.0278750273822562e-05,4.8657428571428575e-05
212,+3.10426300E-05,1559381119.867,+1.57101020E+00,,3.0278951807228913e-05,4.865730049261084e-05
213,+3.09478000E-05,1559381120.0753334,+1.57101140E+00,,3.0278951807228913e-05,4.8661783251231526e-05
214,+3.10052200E-05,1559381120.2836668,+1.57101140E+00,,3.0279125958378967e-05,4.865589162561576e-05
215,+3.09631600E-05,1559381120.492,+1.57100770E+00,,3.0278720700985758e-05,4.866063054187192e-05
216,+3.09958700E-05,1559381120.7003334,+1.57100770E+00,,3.027883680175246e-05,4.8658965517241374e-05
217,+3.10653300E-05,1559381120.9086668,+1.57100400E+00,,3.027853231106243e-05,4.865883743842365e-05
218,+3.10432900E-05,1559381121.117,+1.57100150E+00,,3.0278489594742603e-05,4.8657044334975366e-05
219,+3.10259300E-05,1559381121.3253334,+1.57099530E+00,,3.027833077765608e-05,4.8657428571428575e-05
220,+3.11053900E-05,1559381121.5336668,+1.57099780E+00,,3.02783734939759e-05,4.8661783251231526e-05
221,+3.10813500E-05,1559381121.742,+1.57100030E+00,,3.0278576122672508e-05,4.865730049261084e-05
222,+3.11254200E-05,1559381121.9503334,+1.57100280E+00,,3.0278807228915663e-05,4.865653201970444e-05
223,+3.11548200E-05,1559381122.1586668,+1.57099900E+00,,3.0278648411829133e-05,4.865934975369458e-05
224,+3.11334500E-05,1559381122.367,+1.57099900E+00,,3.0278576122672508e-05,4.865730049261084e-05
225,+3.12215900E-05,1559381125.967,+1.57099900E+00,,3.0278879518072288e-05,4.865653201970444e-05
226,+3.11795200E-05,1559381126.1753333,+1.57100030E+00,,3.0278547645125954e-05,4.865755665024631e-05
227,+3.11000600E-05,1559381126.3836668,+1.57099900E+00,,3.027885104052574e-05,4.865806896551724e-05
228,+3.11641700E-05,1559381126.592,+1.57099530E+00,,3.0278662650602407e-05,4.865858128078818e-05
229,+3.11334500E-05,1559381126.8003333,+1.57099900E+00,,3.0279067907995615e-05,4.8657940886699503e-05
230,+3.12549800E-05,1559381127.0086668,+1.57100150E+00,,3.027909748083242e-05,4.8658709359605913e-05
231,+3.11581600E-05,1559381127.217,+1.57100030E+00,,3.0278981380065717e-05,4.8657428571428575e-05
232,+3.11267700E-05,1559381127.4253333,+1.57099410E+00,,3.0279125958378967e-05,4.8657940886699503e-05
233,+3.12189300E-05,1559381127.6336668,+1.57099900E+00,,3.027885104052574e-05,4.866191133004926e-05
234,+3.11835300E-05,1559381127.842,+1.57099660E+00,,3.027869222343921e-05,4.8656019704433495e-05
235,+3.12156000E-05,1559381128.0503333,+1.57099900E+00,,3.027879299014239e-05,4.865883743842365e-05
236,+3.12576500E-05,1559381128.2586668,+1.57100030E+00,,3.0279009857612264e-05,4.866088669950739e-05
237,+3.12690200E-05,1559381128.467,+1.57100280E+00,,3.0279226725082145e-05,4.866665024630542e-05
238,+3.12569900E-05,1559381128.6753333,+1.57099660E+00,,3.0279125958378967e-05,4.866857142857143e-05
239,+3.12516600E-05,1559381128.8836668,+1.57099900E+00,,3.0278951807228913e-05,4.8670748768472904e-05
240,+3.11721700E-05,1559381129.092,+1.57100030E+00,,3.0279198247535598e-05,4.867087684729064e-05
241,+3.12810300E-05,1559381129.3003333,+1.57100030E+00,,3.0279009857612264e-05,4.867190147783251e-05
242,+3.12730200E-05,1559381129.5086668,+1.57099900E+00,,3.0279125958378967e-05,4.866767487684729e-05
243,+3.12483100E-05,1559381129.717,+1.57099160E+00,,3.027869222343921e-05,4.8667802955665025e-05
244,+3.12924000E-05,1559381129.9253333,+1.57099280E+00,,3.0278951807228913e-05,4.866562561576355e-05
245,+3.12483200E-05,1559381130.1336668,+1.57098910E+00,,3.0279082146768896e-05,4.8674847290640395e-05
246,+3.12883800E-05,1559381130.342,+1.57099410E+00,,3.0279212486308872e-05,4.86695960591133e-05
247,+3.12797000E-05,1559381130.5503333,+1.57099280E+00,,3.027947316538883e-05,4.8671773399014775e-05
248,+3.13277800E-05,1559381130.7586668,+1.57099280E+00,,3.0279212486308872e-05,4.867446305418719e-05
249,+3.12549800E-05,1559381130.967,+1.57099160E+00,,3.027941511500548e-05,4.866895566502463e-05
250,+3.12696900E-05,1559381134.568,+1.57099160E+00,,3.0279082146768896e-05,4.867113300492611e-05
251,+3.12289500E-05,1559381134.7763333,+1.57098910E+00,,3.0279386637458926e-05,4.8670748768472904e-05
252,+3.11828700E-05,1559381134.9846668,+1.57099040E+00,,3.0279646221248634e-05,4.867087684729064e-05
