,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
165,+4.56734100E-05,1559291792.579,+1.57096310E+00,,7.27863143483023e-05,5.159439408866995e-05
166,+4.56954500E-05,1559291792.7873333,+1.57095940E+00,,7.278708105147865e-05,5.159362561576355e-05
167,+4.57161400E-05,1559291792.9956667,+1.57095940E+00,,7.278726944140198e-05,5.159388177339902e-05
168,+4.57068000E-05,1559291793.204,+1.57096190E+00,,7.278761664841184e-05,5.159708374384237e-05
169,+4.57435200E-05,1559291793.4123333,+1.57095810E+00,,7.278920810514786e-05,5.159465024630542e-05
170,+4.57275000E-05,1559291793.6206667,+1.57096060E+00,,7.278919277108433e-05,5.159311330049261e-05
171,+4.57061400E-05,1559291793.829,+1.57096060E+00,,7.27894534501643e-05,5.159336945812808e-05
172,+4.57268300E-05,1559291794.0373333,+1.57096430E+00,,7.279008981380066e-05,5.159349753694581e-05
173,+4.57929500E-05,1559291794.2456667,+1.57095940E+00,,7.279017743702082e-05,5.159208866995074e-05
174,+4.57969600E-05,1559291794.454,+1.57095570E+00,,7.278975794085432e-05,5.1595674876847294e-05
175,+4.62604300E-05,1559291798.116,+1.57095940E+00,,7.312343592552026e-05,5.159144827586207e-05
176,+4.62504000E-05,1559291798.3243332,+1.57096060E+00,,7.484009638554217e-05,5.159413793103448e-05
177,+4.62524200E-05,1559291798.5326667,+1.57095940E+00,,7.484042935377875e-05,5.159311330049261e-05
178,+4.62497400E-05,1559291798.741,+1.57096060E+00,,7.524888061336254e-05,5.159183251231527e-05
179,+4.62671100E-05,1559291798.9493332,+1.57095940E+00,,7.702111500547645e-05,5.1595674876847294e-05
180,+4.62651000E-05,1559291799.1576667,+1.57096060E+00,,7.702146221248631e-05,5.1595546798029554e-05
181,+4.62176800E-05,1559291799.366,+1.57095940E+00,,7.746960788608981e-05,5.159516256157635e-05
182,+4.62196800E-05,1559291799.5743332,+1.57096190E+00,,7.913683461117196e-05,5.159388177339902e-05
183,+4.61923100E-05,1559291799.7826667,+1.57096060E+00,,7.913747097480832e-05,5.159234482758621e-05
