,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A),SQUID_Curr(A)
120,+4.56406500E-05,1559293822.9746668,+1.57432620E+00,,2.2081419496166486e-05,5.1457960591133e-05
121,+4.56660500E-05,1559293823.183,+1.57430520E+00,,2.2081983570646222e-05,5.1457320197044333e-05
122,+4.60774200E-05,1559293823.3913333,+1.57428780E+00,,2.208173713033954e-05,5.1457320197044333e-05
123,+4.62697600E-05,1559293823.5996668,+1.57426180E+00,,2.2082373493975903e-05,5.1457832512315276e-05
124,+4.64954900E-05,1559293823.808,+1.57424940E+00,,2.2082417305585977e-05,5.145860098522168e-05
125,+4.65609300E-05,1559293827.408,+1.57421710E+00,,2.208309748083242e-05,5.1457320197044333e-05
126,+4.64567400E-05,1559293827.6163332,+1.57419610E+00,,2.2082981380065716e-05,5.145860098522168e-05
127,+4.63605800E-05,1559293827.8246667,+1.57417250E+00,,2.2083501642935377e-05,5.145962561576355e-05
128,+4.64447300E-05,1559293828.033,+1.57415520E+00,,2.2083820372398684e-05,5.145770443349754e-05
129,+4.64874600E-05,1559293828.2413332,+1.57413410E+00,,2.2084312157721798e-05,5.146269950738916e-05
130,+4.64273700E-05,1559293828.4496667,+1.57411550E+00,,2.208473165388828e-05,5.145424630541872e-05
131,+4.62911200E-05,1559293828.658,+1.57409320E+00,,2.208486199342826e-05,5.1457832512315276e-05
132,+4.59899400E-05,1559293828.8663332,+1.57407960E+00,,2.2085209200438117e-05,5.1457832512315276e-05
133,+4.63806100E-05,1559293829.0746667,+1.57405850E+00,,2.2085440306681272e-05,5.145616748768473e-05
134,+4.61588900E-05,1559293829.283,+1.57404240E+00,,2.2085700985761227e-05,5.14639802955665e-05
135,+4.63145100E-05,1559293829.4913332,+1.57402010E+00,,2.2086076670317635e-05,5.146052216748768e-05
136,+4.63505500E-05,1559293829.6996667,+1.57399530E+00,,2.2086481927710844e-05,5.1460394088669946e-05
137,+4.64480600E-05,1559293829.908,+1.57397920E+00,,2.2087060240963853e-05,5.145616748768473e-05
138,+4.61842700E-05,1559293830.1163332,+1.57396060E+00,,2.208736473165389e-05,5.145578325123153e-05
139,+4.58770800E-05,1559293830.3246667,+1.57394200E+00,,2.2087812705366922e-05,5.145667980295567e-05
140,+4.64687600E-05,1559293830.533,+1.57391840E+00,,2.2088015334063527e-05,5.145578325123153e-05
141,+4.61722500E-05,1559293830.7413332,+1.57390350E+00,,2.2088767798466593e-05,5.1458344827586204e-05
142,+4.62964700E-05,1559293830.9496667,+1.57388990E+00,,2.2089288061336254e-05,5.145847290640394e-05
143,+4.67272100E-05,1559293831.158,+1.57386880E+00,,2.208954874041621e-05,5.1454758620689656e-05
144,+4.59251500E-05,1559293831.3663332,+1.57384160E+00,,2.209044578313253e-05,5.144989162561576e-05
145,+4.62363500E-05,1559293831.5746667,+1.57382920E+00,,2.2091024096385544e-05,5.145629556650246e-05
146,+4.59485300E-05,1559293831.783,+1.57381180E+00,,2.209134282584885e-05,5.145860098522168e-05
147,+4.56233000E-05,1559293831.9913332,+1.57379320E+00,,2.209164622124863e-05,5.1456039408866995e-05
148,+4.58009300E-05,1559293832.1996667,+1.57377460E+00,,2.2092109529025194e-05,5.145591133004926e-05
149,+4.53060900E-05,1559293832.408,+1.57375600E+00,,2.20925717415115e-05,5.1457832512315276e-05
150,+4.62557300E-05,1559293836.009,+1.57372380E+00,,2.2093483023001093e-05,5.145757635467981e-05
151,+4.64393800E-05,1559293836.2173333,+1.57370890E+00,,2.2093874041621028e-05,5.145860098522168e-05
152,+4.60173200E-05,1559293836.4256668,+1.57368910E+00,,2.2094684556407446e-05,5.145860098522168e-05
153,+4.63525700E-05,1559293836.634,+1.57367180E+00,,2.2095219058050383e-05,5.1457960591133e-05
154,+4.57608700E-05,1559293836.8423333,+1.57365320E+00,,2.2095783132530122e-05,5.145757635467981e-05
155,+4.61134800E-05,1559293837.0506668,+1.57363330E+00,,2.2096260679079956e-05,5.1452325123152706e-05
156,+4.63044900E-05,1559293837.259,+1.57361850E+00,,2.2096810514786417e-05,5.146000985221675e-05
157,+4.57628800E-05,1559293837.4673333,+1.57359490E+00,,2.2097288061336254e-05,5.145808866995074e-05
158,+4.60226600E-05,1559293837.6756668,+1.57357630E+00,,2.2097952902519168e-05,5.1459369458128075e-05
159,+4.61595600E-05,1559293837.884,+1.57356520E+00,,2.209850273822563e-05,5.145962561576355e-05
160,+4.59492000E-05,1559293838.0923333,+1.57354660E+00,,2.2099211391018618e-05,5.146090640394089e-05
161,+4.58236500E-05,1559293838.3006668,+1.57352800E+00,,2.2099602409638553e-05,5.145924137931034e-05
162,+4.56720400E-05,1559293838.509,+1.57350440E+00,,2.210044140197152e-05,5.145821674876847e-05
163,+4.56887400E-05,1559293838.7173333,+1.57348950E+00,,2.210081708652793e-05,5.145962561576355e-05
164,+4.61188200E-05,1559293838.9256668,+1.57347100E+00,,2.2101483023001094e-05,5.1460137931034485e-05
165,+4.59565500E-05,1559293839.134,+1.57345360E+00,,2.210209090909091e-05,5.146129064039409e-05
166,+4.60573900E-05,1559293839.3423333,+1.57343750E+00,,2.2102727272727273e-05,5.1463083743842364e-05
167,+4.62343600E-05,1559293839.5506668,+1.57341890E+00,,2.2103161007667033e-05,5.146154679802955e-05
168,+4.63552400E-05,1559293839.759,+1.57339780E+00,,2.2103797371303396e-05,5.1457064039408866e-05
169,+4.63378700E-05,1559293839.9673333,+1.57338290E+00,,2.2104433734939756e-05,5.145770443349754e-05
170,+4.62056500E-05,1559293840.1756668,+1.57336190E+00,,2.210517196056955e-05,5.145962561576355e-05
171,+4.61041400E-05,1559293840.384,+1.57334700E+00,,2.2105808324205912e-05,5.145949753694581e-05
172,+4.61422100E-05,1559293840.5923333,+1.57332720E+00,,2.210618400876232e-05,5.1457960591133e-05
173,+4.63038000E-05,1559293840.8006668,+1.57331480E+00,,2.2107124863088717e-05,5.145847290640394e-05
174,+4.62938000E-05,1559293841.009,+1.57329870E+00,,2.2107688937568456e-05,5.145693596059113e-05
175,+4.64861400E-05,1559293844.609,+1.57326640E+00,,2.210838335158817e-05,5.1464108374384235e-05
176,+4.63772700E-05,1559293844.8173332,+1.57325030E+00,,2.2109135815991237e-05,5.14571921182266e-05
177,+4.66283700E-05,1559293845.0256667,+1.57323420E+00,,2.21096560788609e-05,5.146026600985221e-05
178,+4.64380500E-05,1559293845.234,+1.57321930E+00,,2.2109814895947428e-05,5.145757635467981e-05
179,+4.63111700E-05,1559293845.4423332,+1.57320320E+00,,2.2110408543263964e-05,5.1455399014778325e-05
180,+4.65115000E-05,1559293845.6506667,+1.57318210E+00,,2.211066812705367e-05,5.145821674876847e-05
181,+4.63759400E-05,1559293845.859,+1.57316480E+00,,2.2111203723986857e-05,5.1457064039408866e-05
182,+4.60547200E-05,1559293846.0673332,+1.57314990E+00,,2.2111854326396494e-05,5.145962561576355e-05
183,+4.58937800E-05,1559293846.2756667,+1.57313380E+00,,2.211211500547645e-05,5.1457064039408866e-05
184,+4.64854700E-05,1559293846.484,+1.57311890E+00,,2.211243373493976e-05,5.1457064039408866e-05
185,+4.64146700E-05,1559293846.6923332,+1.57310030E+00,,2.2112375684556405e-05,5.1459753694581284e-05
186,+4.64660900E-05,1559293846.9006667,+1.57308170E+00,,2.2112693318729462e-05,5.1455655172413786e-05
187,+4.63605800E-05,1559293847.109,+1.57306810E+00,,2.2112751369112817e-05,5.145616748768473e-05
188,+4.61796000E-05,1559293847.3173332,+1.57305080E+00,,2.2112911281489594e-05,5.1459753694581284e-05
189,+4.63959800E-05,1559293847.5256667,+1.57303590E+00,,2.2112968236582695e-05,5.145424630541872e-05
190,+4.62597300E-05,1559293847.734,+1.57301980E+00,,2.211338773274918e-05,5.145757635467981e-05
191,+4.63792800E-05,1559293847.9423332,+1.57300370E+00,,2.2113518072289156e-05,5.145283743842365e-05
192,+4.64454000E-05,1559293848.1506667,+1.57298750E+00,,2.211372070098576e-05,5.146154679802955e-05
193,+4.64073200E-05,1559293848.359,+1.57297390E+00,,2.2113967141292443e-05,5.1455399014778325e-05
194,+4.63378700E-05,1559293848.5673332,+1.57295780E+00,,2.211385104052574e-05,5.145629556650246e-05
195,+4.62991300E-05,1559293848.7756667,+1.57293800E+00,,2.2114111719605696e-05,5.1456039408866995e-05
196,+4.62984700E-05,1559293848.984,+1.57292310E+00,,2.21143713033954e-05,5.1457320197044333e-05
197,+4.63191800E-05,1559293849.1923332,+1.57290940E+00,,2.2114762322015336e-05,5.145924137931034e-05
198,+4.64200200E-05,1559293849.4006667,+1.57289950E+00,,2.2115167579408545e-05,5.145744827586207e-05
199,+4.62904600E-05,1559293849.609,+1.57288340E+00,,2.2115485213581598e-05,5.145578325123153e-05
200,+4.65796300E-05,1559293853.209,+1.57285210E+00,,2.211590470974808e-05,5.145808866995074e-05
201,+4.65495700E-05,1559293853.4173334,+1.57283730E+00,,2.2116642935377873e-05,5.1458344827586204e-05
202,+4.65709500E-05,1559293853.6256669,+1.57282730E+00,,2.2117033953997808e-05,5.145757635467981e-05
203,+4.65028200E-05,1559293853.834,+1.57281250E+00,,2.2117598028477547e-05,5.1455399014778325e-05
