,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
364,+3.38483000E-05,1559292709.3466668,+1.57094950E+00,,0.0001588518838992333,5.152688669950739e-05
365,+3.32810000E-05,1559292709.555,+1.57095070E+00,,0.00015885087623220153,5.15284236453202e-05
366,+3.33078000E-05,1559292709.7633333,+1.57095440E+00,,0.00015884971522453451,5.15291921182266e-05
367,+3.27871000E-05,1559292709.9716668,+1.57095440E+00,,0.00015884899233296822,5.1530729064039415e-05
368,+3.31141000E-05,1559292710.18,+1.57095440E+00,,0.00015885072289156628,5.1527014778325126e-05
369,+3.29340000E-05,1559292710.3883333,+1.57095070E+00,,0.00015885087623220153,5.152483743842365e-05
370,+3.35881000E-05,1559292710.5966668,+1.57095320E+00,,0.0001588513033953998,5.1527270935960594e-05
371,+3.30140000E-05,1559292710.805,+1.57095320E+00,,0.00015885043811610078,5.1523684729064045e-05
372,+3.33678000E-05,1559292711.0133333,+1.57094950E+00,,0.00015885174151150053,5.152304433497537e-05
373,+3.30208000E-05,1559292711.2216668,+1.57095070E+00,,0.0001588513033953998,5.152637438423645e-05
374,+3.33010000E-05,1559292711.43,+1.57095320E+00,,0.00015885015334063526,5.152637438423645e-05
375,+3.20865000E-05,1559292715.032,+1.57095320E+00,,0.00015910190580503832,5.152778325123153e-05
376,+3.33011000E-05,1559292715.2403333,+1.57095190E+00,,0.00016066242059145674,5.152714285714286e-05
377,+3.13857000E-05,1559292715.4486668,+1.57095190E+00,,0.00016066328587075577,5.152445320197044e-05
378,+3.31209000E-05,1559292715.657,+1.57095190E+00,,0.00016108025191675796,5.152586206896552e-05
379,+3.29341000E-05,1559292715.8653333,+1.57095070E+00,,0.00016324561883899235,5.152970443349753e-05
380,+3.28072000E-05,1559292716.0736668,+1.57095190E+00,,0.00016324533406352685,5.152509359605911e-05
381,+3.23068000E-05,1559292716.282,+1.57095570E+00,,0.0001636954326396495,5.152432512315271e-05
