,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),SQUID_Curr(A)
166,-3.15927000E-05,1559281321.3313332,+1.57075730E+00,0.020644541,4.964500492610837e-05
167,-3.16260000E-05,1559281321.5396667,+1.57076100E+00,0.020644541,4.964846305418719e-05
168,-3.15192000E-05,1559281321.748,+1.57075860E+00,0.020644712000000003,4.964795073891626e-05
169,-3.15526000E-05,1559281321.9563332,+1.57076100E+00,0.020644646,4.9647822660098525e-05
170,-3.15927000E-05,1559281322.1646667,+1.57076230E+00,0.020644751,4.9648847290640396e-05
171,-3.16727000E-05,1559281322.373,+1.57075980E+00,0.020644659000000003,4.965064039408867e-05
172,-3.16060000E-05,1559281322.5813332,+1.57076100E+00,0.020644607000000002,4.964500492610837e-05
173,-3.16593000E-05,1559281322.7896667,+1.57076350E+00,0.020644646,4.964705418719212e-05
174,-3.17661000E-05,1559281322.998,+1.57076100E+00,0.020644672,4.964500492610837e-05
175,-3.16926000E-05,1559281326.704,+1.57076230E+00,0.020804007,4.964935960591133e-05
176,-3.16192000E-05,1559281326.9123333,+1.57076350E+00,0.021656612,4.964474876847291e-05
177,-3.15526000E-05,1559281327.1206667,+1.57076480E+00,0.021656769,4.964961576354679e-05
178,-3.15126000E-05,1559281327.329,+1.57076350E+00,0.021656756,4.964756650246305e-05
179,-3.16728000E-05,1559281327.5373333,+1.57076480E+00,0.02165686,4.9644108374384236e-05
180,-3.14792000E-05,1559281327.7456667,+1.57076230E+00,0.021656782,4.964513300492611e-05
181,-3.17461000E-05,1559281327.954,+1.57076600E+00,0.021923723,4.964577339901478e-05
182,-3.17528000E-05,1559281328.1623333,+1.57076850E+00,0.022651238,4.965064039408867e-05
183,-3.14925000E-05,1559281328.3706667,+1.57076850E+00,0.022651317,4.965089655172414e-05
184,-3.16126000E-05,1559281328.579,+1.57076720E+00,0.022651565000000002,4.9647182266009856e-05
185,-3.16192000E-05,1559281328.7873333,+1.57076480E+00,0.022651499999999998,4.964602955665025e-05
186,-3.15459000E-05,1559281328.9956667,+1.57076350E+00,0.022651473999999998,4.9646798029556654e-05
187,-3.15658000E-05,1559281329.204,+1.57076480E+00,0.022972945,4.964500492610837e-05
188,-3.15325000E-05,1559281329.4123333,+1.57076600E+00,0.023658519,4.9649103448275864e-05
189,-3.15993000E-05,1559281329.6206667,+1.57076480E+00,0.023658584,4.964731034482758e-05
190,-3.14858000E-05,1559281329.829,+1.57076350E+00,0.023658453,4.964551724137931e-05
191,-3.15392000E-05,1559281330.0373333,+1.57076350E+00,0.023658663,4.9647182266009856e-05
192,-3.16059000E-05,1559281330.2456667,+1.57076850E+00,0.023658624,4.96503842364532e-05
193,-3.15192000E-05,1559281330.454,+1.57076600E+00,0.02365861,4.964602955665025e-05
194,-3.13456000E-05,1559281330.6623333,+1.57076850E+00,0.023658702,4.964602955665025e-05
195,-3.16927000E-05,1559281330.8706667,+1.57076850E+00,0.023658728,4.965064039408867e-05
196,-3.15793000E-05,1559281331.079,+1.57076970E+00,0.023658663,4.9644876847290646e-05
197,-3.14926000E-05,1559281331.2873333,+1.57076350E+00,0.023658663,4.964590147783252e-05
198,-3.15325000E-05,1559281331.4956667,+1.57076720E+00,0.023658663,4.9648206896551726e-05
199,-3.15058000E-05,1559281331.704,+1.57076350E+00,0.02365861,4.9644108374384236e-05
200,-3.13323000E-05,1559281335.305,+1.57076600E+00,0.023804385,4.964590147783252e-05
201,-3.15460000E-05,1559281335.5133333,+1.57076970E+00,0.024671872,4.964961576354679e-05
202,-3.13257000E-05,1559281335.7216668,+1.57076850E+00,0.024672081000000002,4.964897536945813e-05
203,-3.13857000E-05,1559281335.93,+1.57076720E+00,0.024672238,4.964551724137931e-05
204,-3.14323000E-05,1559281336.1383333,+1.57076850E+00,0.024672186,4.964692610837439e-05
205,-3.14726000E-05,1559281336.3466668,+1.57076970E+00,0.024672134000000002,4.9646413793103446e-05
206,-3.15391000E-05,1559281336.555,+1.57077100E+00,0.024977740000000002,4.9642059113300494e-05
207,-3.14726000E-05,1559281336.7633333,+1.57077340E+00,0.025864838,4.9647438423645316e-05
208,-3.13791000E-05,1559281336.9716668,+1.57077470E+00,0.025865048,4.9646413793103446e-05
209,-3.14058000E-05,1559281337.18,+1.57077220E+00,0.025865283,4.964692610837439e-05
210,-3.13524000E-05,1559281337.3883333,+1.57077220E+00,0.025865336,4.9644108374384236e-05
211,-3.12790000E-05,1559281337.5966668,+1.57077340E+00,0.025865231,4.964795073891626e-05
