,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
249,+3.75626200E-05,1559361396.056,,0.00010684760788608982
250,+3.75926700E-05,1559361399.655,,0.00010805134063526835
251,+3.75632900E-05,1559361399.8633332,,0.00010864716538882803
252,+3.76113800E-05,1559361400.0716667,,0.00010864463417305585
253,+3.75953400E-05,1559361400.28,,0.00011155922234392113
254,+3.76267200E-05,1559361400.4883332,,0.00011152487404162103
255,+3.76053600E-05,1559361400.6966667,,0.00011152039430449067
256,+3.75966700E-05,1559361400.905,,0.0001141048083242059
257,+3.76240500E-05,1559361401.1133332,,0.00011410392113910187
258,+3.75873200E-05,1559361401.3216667,,0.00011410541073384447
259,+3.76280700E-05,1559361401.53,,0.00011590777656078861
260,+3.76474200E-05,1559361401.7383332,,0.00011590900328587074
261,+3.76514300E-05,1559361401.9466667,,0.00011591146768893755
262,+3.76086900E-05,1559361402.155,,0.00011849602409638554
263,+3.75799700E-05,1559361402.3633332,,0.00011849426067907995
264,+3.75712900E-05,1559361402.5716667,,0.00011849532311062433
265,+3.75940100E-05,1559361402.78,,0.00011849434830230011
266,+3.76247200E-05,1559361402.9883332,,0.00011849493975903614
267,+3.76013600E-05,1559361403.1966667,,0.00011849491785323109
268,+3.76434300E-05,1559361403.405,,0.00011849498357064623
269,+3.76127100E-05,1559361403.6133332,,0.00011849445783132531
270,+3.76340600E-05,1559361403.8216667,,0.00011849485213581599
271,+3.75933300E-05,1559361404.03,,0.00011849430449069003
272,+3.75532700E-05,1559361404.2383332,,0.00011849660460021906
273,+3.75479300E-05,1559361404.4466667,,0.00011849612267250823
274,+3.75552700E-05,1559361404.655,,0.00011849696604600218
275,+3.74337200E-05,1559361408.368,,0.00011851970427163197
276,+3.74197000E-05,1559361408.5763333,,0.0001203069660460022
277,+3.73876400E-05,1559361408.7846668,,0.00012030741511500547
278,+3.74330500E-05,1559361408.993,,0.00012039994523548741
279,+3.74624500E-05,1559361409.2013333,,0.00012288997809419496
280,+3.73983300E-05,1559361409.4096668,,0.00012289076670317635
281,+3.73909800E-05,1559361409.618,,0.00012311070098576122
282,+3.74283900E-05,1559361409.8263333,,0.00012469705366922236
283,+3.74363900E-05,1559361410.0346668,,0.00012469622124863087
284,+3.74337200E-05,1559361410.243,,0.00012507825848849947
285,+3.75005000E-05,1559361410.4513333,,0.0001272770317634173
286,+3.74624300E-05,1559361410.6596668,,0.00012727863088718511
287,+3.74437500E-05,1559361410.868,,0.00012759071193866375
288,+3.74424100E-05,1559361411.0763333,,0.00012908972617743701
289,+3.74831500E-05,1559361411.2846668,,0.00012909006571741512
