,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
149,+4.73235500E-05,1559361878.106,,6.418668127053669e-05
150,+4.73656200E-05,1559361881.835,,6.418723110624315e-05
151,+4.74551200E-05,1559361882.0433333,,6.630419715224534e-05
152,+4.74017000E-05,1559361882.2516668,,6.630555750273823e-05
153,+4.74457700E-05,1559361882.46,,6.630399561883899e-05
154,+4.74264000E-05,1559361882.6683333,,6.842007667031764e-05
155,+4.74364200E-05,1559361882.8766668,,6.841972946330778e-05
156,+4.74223900E-05,1559361883.085,,6.844034282584885e-05
157,+4.74324200E-05,1559361883.2933333,,7.059350383351588e-05
158,+4.74604700E-05,1559361883.5016668,,7.059406790799561e-05
159,+4.74851700E-05,1559361883.71,,7.066280832420592e-05
160,+4.74865100E-05,1559361883.9183333,,7.270702847754655e-05
161,+4.74577800E-05,1559361884.1266668,,7.270792552026287e-05
162,+4.74985300E-05,1559361884.335,,7.281798028477546e-05
163,+4.74825000E-05,1559361884.5433333,,7.475480722891567e-05
164,+4.74985200E-05,1559361884.7516668,,7.475564622124863e-05
165,+4.74871800E-05,1559361884.96,,7.475521139101862e-05
166,+4.74951800E-05,1559361885.1683333,,7.475503833515882e-05
167,+4.75386000E-05,1559361885.3766668,,7.475538554216868e-05
168,+4.75025400E-05,1559361885.585,,7.475487951807229e-05
169,+4.75312400E-05,1559361885.7933333,,7.47560799561884e-05
170,+4.75599500E-05,1559361886.0016668,,7.47564852135816e-05
171,+4.75679800E-05,1559361886.21,,7.47563691128149e-05
172,+4.75993600E-05,1559361886.4183333,,7.475741073384447e-05
173,+4.76274200E-05,1559361886.6266668,,7.475806133625411e-05
174,+4.75913500E-05,1559361886.835,,7.475866922234393e-05
175,+4.76554700E-05,1559361890.306,,7.622936363636363e-05
176,+4.76614700E-05,1559361890.5143332,,7.693667469879519e-05
177,+4.76554600E-05,1559361890.7226667,,7.693600985761227e-05
178,+4.77122300E-05,1559361890.931,,7.841837020810515e-05
179,+4.76821700E-05,1559361891.1393332,,7.905070646221248e-05
180,+4.76588000E-05,1559361891.3476667,,7.905138554216868e-05
181,+4.76895100E-05,1559361891.556,,8.058590799561884e-05
182,+4.76521300E-05,1559361891.7643332,,8.11660383351588e-05
183,+4.76648200E-05,1559361891.9726667,,8.116579189485213e-05
184,+4.76908600E-05,1559361892.181,,8.294061555312158e-05
185,+4.77002200E-05,1559361892.3893332,,8.334669550930997e-05
186,+4.76875200E-05,1559361892.5976667,,8.334681161007667e-05
187,+4.76868500E-05,1559361892.806,,8.512263636363636e-05
188,+4.76995400E-05,1559361893.0143332,,8.546265169769989e-05
189,+4.76821800E-05,1559361893.2226667,,8.546283899233297e-05
190,+4.77082200E-05,1559361893.431,,8.546386637458926e-05
191,+4.77015300E-05,1559361893.6393332,,8.546349069003287e-05
192,+4.76948700E-05,1559361893.8476667,,8.546383789704272e-05
193,+4.77436200E-05,1559361894.056,,8.546385213581599e-05
194,+4.77456200E-05,1559361894.2643332,,8.546444468784227e-05
195,+4.77215800E-05,1559361894.4726667,,8.546555859802848e-05
196,+4.76928700E-05,1559361894.681,,8.546590580503834e-05
197,+4.76935400E-05,1559361894.8893332,,8.546755531215772e-05
198,+4.77175700E-05,1559361895.0976667,,8.546610843373494e-05
199,+4.77088900E-05,1559361895.306,,8.546476341730559e-05
200,+4.77569800E-05,1559361898.906,,8.681413581599124e-05
201,+4.77469600E-05,1559361899.1143332,,8.756927601314348e-05
202,+4.77195800E-05,1559361899.3226666,,8.756939211391019e-05
203,+4.77462900E-05,1559361899.531,,8.902132420591456e-05
204,+4.76661500E-05,1559361899.7393332,,8.955569879518073e-05
205,+4.76501300E-05,1559361899.9476666,,8.955639320920044e-05
206,+4.76514600E-05,1559361900.156,,9.154306900328587e-05
207,+4.76601400E-05,1559361900.3643332,,9.21806878422782e-05
208,+4.76634700E-05,1559361900.5726666,,9.218290142387732e-05
209,+4.76073800E-05,1559361900.781,,9.35385969331873e-05
210,+4.76574600E-05,1559361900.9893332,,9.391512376779846e-05
211,+4.76601400E-05,1559361901.1976666,,9.391639649507119e-05
212,+4.76481300E-05,1559361901.406,,9.548107667031763e-05
213,+4.76367700E-05,1559361901.6143332,,9.571025629791895e-05
214,+4.76634800E-05,1559361901.8226666,,9.570854874041621e-05
215,+4.76594700E-05,1559361902.031,,9.571116757940854e-05
216,+4.76975300E-05,1559361902.2393332,,9.571380065717414e-05
217,+4.76761600E-05,1559361902.4476666,,9.5714856516977e-05
218,+4.76982100E-05,1559361902.656,,9.571568127053669e-05
219,+4.76527900E-05,1559361902.8643332,,9.571724315443592e-05
220,+4.76901900E-05,1559361903.0726666,,9.571618729463308e-05
221,+4.76768400E-05,1559361903.281,,9.571466812705367e-05
222,+4.76734900E-05,1559361903.4893332,,9.571621577217963e-05
223,+4.77115600E-05,1559361903.6976666,,9.571547864184008e-05
224,+4.76768300E-05,1559361903.906,,9.571711281489595e-05
225,+4.76514600E-05,1559361907.505,,9.74877699890471e-05
226,+4.76441100E-05,1559361907.7133334,,9.834273603504929e-05
227,+4.76674800E-05,1559361907.9216669,,9.834398028477546e-05
228,+4.76053700E-05,1559361908.13,,9.955685542168675e-05
229,+4.76501200E-05,1559361908.3383334,,0.00010007546549835706
230,+4.76267500E-05,1559361908.5466669,,0.00010007636254107338
231,+4.76133800E-05,1559361908.755,,0.00010214352026286967
232,+4.76314200E-05,1559361908.9633334,,0.00010269995837897042
233,+4.76741700E-05,1559361909.1716669,,0.00010270152135815991
234,+4.75973700E-05,1559361909.38,,0.00010410641511500548
235,+4.76387600E-05,1559361909.5883334,,0.00010443169003285871
236,+4.76360900E-05,1559361909.7966669,,0.00010443234063526834
237,+4.76434400E-05,1559361910.005,,0.00010663057502738225
238,+4.76487900E-05,1559361910.2133334,,0.00010705515991237678
239,+4.76634800E-05,1559361910.4216669,,0.00010705599890470975
240,+4.76247300E-05,1559361910.63,,0.00010705628915662651
241,+4.76521100E-05,1559361910.8383334,,0.00010705679518072289
242,+4.76427600E-05,1559361911.0466669,,0.00010705680941949616
243,+4.76047000E-05,1559361911.255,,0.00010705760460021905
244,+4.76254100E-05,1559361911.4633334,,0.00010705974589266157
245,+4.76574700E-05,1559361911.6716669,,0.00010706206024096385
246,+4.76588000E-05,1559361911.88,,0.00010706135158817086
247,+4.76487900E-05,1559361912.0883334,,0.00010706502628696604
248,+4.76381100E-05,1559361912.2966669,,0.00010706087404162103
249,+4.76180600E-05,1559361912.505,,0.00010706101861993429
250,+4.76561300E-05,1559361916.106,,0.00010820882803943044
251,+4.76340800E-05,1559361916.3143332,,0.00010885547097480833
252,+4.76327600E-05,1559361916.5226667,,0.00010885644030668127
253,+4.76374200E-05,1559361916.731,,0.00011143449069003287
254,+4.76006900E-05,1559361916.9393332,,0.00011140192771084338
255,+4.76474600E-05,1559361917.1476667,,0.00011139900328587076
256,+4.76574700E-05,1559361917.356,,0.00011397922234392112
257,+4.76514600E-05,1559361917.5643332,,0.00011397874041621029
258,+4.76247500E-05,1559361917.7726667,,0.00011397681270536692
259,+4.76427800E-05,1559361917.981,,0.00011577541073384447
260,+4.75773300E-05,1559361918.1893332,,0.00011577951807228916
261,+4.76761600E-05,1559361918.3976667,,0.00011577926615553121
262,+4.76300800E-05,1559361918.606,,0.00011835755750273822
263,+4.75906900E-05,1559361918.8143332,,0.00011835903614457832
264,+4.76013700E-05,1559361919.0226667,,0.00011835733844468784
265,+4.76080600E-05,1559361919.231,,0.00011835786418400877
266,+4.76247300E-05,1559361919.4393332,,0.00011835654983570645
267,+4.75806700E-05,1559361919.6476667,,0.00011835851040525739
268,+4.76200700E-05,1559361919.856,,0.00011836038335158817
269,+4.76027000E-05,1559361920.0643332,,0.00011835899233296825
270,+4.76247300E-05,1559361920.2726667,,0.00011835872946330777
271,+4.76180700E-05,1559361920.481,,0.00011835872946330777
272,+4.76053800E-05,1559361920.6893332,,0.00011836009857612267
273,+4.76133900E-05,1559361920.8976667,,0.00011836147864184008
274,+4.76187400E-05,1559361921.106,,0.00011836437020810516
275,+4.76274200E-05,1559361924.817,,0.0001183620591456736
276,+4.76427800E-05,1559361925.0253332,,0.0001201697699890471
277,+4.76381000E-05,1559361925.2336667,,0.00012017192771084338
278,+4.75846700E-05,1559361925.442,,0.00012031612267250821
279,+4.76060400E-05,1559361925.6503332,,0.000122750865279299
280,+4.75599700E-05,1559361925.8586667,,0.00012275032858707557
281,+4.75673200E-05,1559361926.067,,0.00012289880613362543
282,+4.75760000E-05,1559361926.2753332,,0.00012456055859802847
283,+4.75886700E-05,1559361926.4836667,,0.0001245584556407448
284,+4.75826800E-05,1559361926.692,,0.00012498608981380066
285,+4.76367700E-05,1559361926.9003332,,0.0001271388061336254
286,+4.76280700E-05,1559361927.1086667,,0.00012713903614457831
287,+4.75820000E-05,1559361927.317,,0.00012748945235487404
288,+4.76107200E-05,1559361927.5253332,,0.0001289496495071194
289,+4.75900200E-05,1559361927.7336667,,0.00012895179627601312
290,+4.76007100E-05,1559361927.942,,0.0001289531982475356
291,+4.75886900E-05,1559361928.1503332,,0.0001289515443592552
292,+4.75826700E-05,1559361928.3586667,,0.00012895142387732748
293,+4.75833500E-05,1559361928.567,,0.00012895118291347208
294,+4.75599700E-05,1559361928.7753332,,0.00012895516976998904
295,+4.75706500E-05,1559361928.9836667,,0.00012895470974808322
296,+4.75466100E-05,1559361929.192,,0.00012895181818181817
297,+4.75165600E-05,1559361929.4003332,,0.00012895028477546551
298,+4.75860200E-05,1559361929.6086667,,0.0001289503504928806
299,+4.75386000E-05,1559361929.817,,0.00012895064622124862
300,+4.75572900E-05,1559361933.306,,0.00013000254107338447
301,+4.75699800E-05,1559361933.5143332,,0.00013062872946330778
302,+4.75292400E-05,1559361933.7226667,,0.0001306296604600219
303,+4.75446000E-05,1559361933.931,,0.00013334709748083243
304,+4.75459400E-05,1559361934.1393332,,0.00013334912376779847
305,+4.75653100E-05,1559361934.3476667,,0.00013334941949616648
306,+4.75866700E-05,1559361934.556,,0.00013515372398685652
307,+4.75833300E-05,1559361934.7643332,,0.00013515401971522453
308,+4.75452700E-05,1559361934.9726667,,0.0001351532968236583
309,+4.75399300E-05,1559361935.181,,0.00013773373493975902
310,+4.75800000E-05,1559361935.3893332,,0.00013773286966046002
311,+4.75406000E-05,1559361935.5976667,,0.00013773315443592552
312,+4.75299100E-05,1559361935.806,,0.0001395399561883899
313,+4.76114000E-05,1559361936.0143332,,0.0001395409748083242
314,+4.75780000E-05,1559361936.2226667,,0.00013953894852135817
315,+4.75786700E-05,1559361936.431,,0.0001395385104052574
316,+4.76140600E-05,1559361936.6393332,,0.00013953792990142386
317,+4.75786700E-05,1559361936.8476667,,0.0001395372070098576
318,+4.76033800E-05,1559361937.056,,0.00013953561883899235
319,+4.76033700E-05,1559361937.2643332,,0.00013953112814895946
320,+4.75993600E-05,1559361937.4726667,,0.00013952938663745892
321,+4.75840100E-05,1559361937.681,,0.00013952707557502738
322,+4.76020400E-05,1559361937.8893332,,0.00013952736035049287
323,+4.75639700E-05,1559361938.0976667,,0.00013952591456736036
324,+4.75653100E-05,1559361938.306,,0.00013952230010952902
325,+4.76527900E-05,1559361941.996,,0.00013973902519167578
326,+4.76728300E-05,1559361942.2043333,,0.00014210230010952901
327,+4.76521300E-05,1559361942.4126668,,0.00014210562979189483
328,+4.76975300E-05,1559361942.621,,0.00014241313253012048
329,+4.77008800E-05,1559361942.8293333,,0.00014391139101861995
330,+4.77068800E-05,1559361943.0376668,,0.0001439139978094195
331,+4.76568000E-05,1559361943.246,,0.00014424393209200436
332,+4.76487900E-05,1559361943.4543333,,0.00014559003285870756
333,+4.77463000E-05,1559361943.6626668,,0.0001455911938663746
334,+4.77088900E-05,1559361943.871,,0.00014635357064622125
335,+4.77182500E-05,1559361944.0793333,,0.00014829338444687844
336,+4.76748200E-05,1559361944.2876668,,0.00014829020810514787
337,+4.77322600E-05,1559361944.496,,0.00014880082146768894
338,+4.77342700E-05,1559361944.7043333,,0.00014996324205914568
339,+4.77349400E-05,1559361944.9126668,,0.00014996164293537787
340,+4.77035500E-05,1559361945.121,,0.00014995889375684555
341,+4.77269200E-05,1559361945.3293333,,0.00014995817086527929
342,+4.77095500E-05,1559361945.5376668,,0.00014995020810514787
343,+4.77389400E-05,1559361945.746,,0.00014995209200438115
344,+4.77042200E-05,1559361945.9543333,,0.00014995194961664842
345,+4.77376100E-05,1559361946.1626668,,0.0001499481818181818
346,+4.77556400E-05,1559361946.371,,0.00014994658269441402
347,+4.77716600E-05,1559361946.5793333,,0.0001499470208105148
348,+4.77990400E-05,1559361946.7876668,,0.00014994615553121579
349,+4.77836800E-05,1559361946.996,,0.0001499435487404162
350,+4.77943700E-05,1559361950.506,,0.00015178738225629792
351,+4.78084000E-05,1559361950.7143333,,0.0001526510952902519
352,+4.78043800E-05,1559361950.9226668,,0.0001526499452354874
353,+4.78344300E-05,1559361951.131,,0.00015383273822562978
354,+4.77850200E-05,1559361951.3393333,,0.00015432670317634174
355,+4.78698400E-05,1559361951.5476668,,0.00015432467688937567
356,+4.78297700E-05,1559361951.756,,0.00015629374589266155
357,+4.78377900E-05,1559361951.9643333,,0.0001570186199342826
358,+4.79152500E-05,1559361952.1726668,,0.00015701630887185103
359,+4.78157500E-05,1559361952.381,,0.0001583832530120482
360,+4.78170700E-05,1559361952.5893333,,0.0001586904600219058
361,+4.78645000E-05,1559361952.7976668,,0.000158688291347207
362,+4.78811900E-05,1559361953.006,,0.00016020899233296822
363,+4.78952200E-05,1559361953.2143333,,0.00016049636363636363
364,+4.78137300E-05,1559361953.4226668,,0.00016049245345016428
365,+4.78144100E-05,1559361953.631,,0.0001604902847754655
366,+4.78190800E-05,1559361953.8393333,,0.00016048825848849946
367,+4.78544800E-05,1559361954.0476668,,0.00016048203723986856
368,+4.78063800E-05,1559361954.256,,0.00016048001095290252
369,+4.78317600E-05,1559361954.4643333,,0.0001604763855421687
370,+4.78144000E-05,1559361954.6726668,,0.00016047349397590362
371,+4.78337600E-05,1559361954.881,,0.00016046769989047096
372,+4.78144000E-05,1559361955.0893333,,0.00016046466593647318
373,+4.78030500E-05,1559361955.2976668,,0.00016045929901423877
374,+4.77890300E-05,1559361955.506,,0.00016045307776560788
375,+4.77903600E-05,1559361959.106,,0.0001621023439211391
376,+4.78050600E-05,1559361959.3143332,,0.00016302397590361447
377,+4.77576500E-05,1559361959.5226667,,0.00016301442497261773
378,+4.77937100E-05,1559361959.731,,0.00016433721796276011
379,+4.77376100E-05,1559361959.9393332,,0.00016482119386637459
380,+4.77215700E-05,1559361960.1476667,,0.00016482061336254105
381,+4.77502900E-05,1559361960.356,,0.00016676882803943045
382,+4.76781700E-05,1559361960.5643332,,0.0001673943921139102
383,+4.76574700E-05,1559361960.7726667,,0.00016739294633077764
384,+4.76674800E-05,1559361960.981,,0.00016879522453450163
385,+4.76855100E-05,1559361961.1893332,,0.00016918871851040527
386,+4.77356000E-05,1559361961.3976667,,0.00016918784227820373
387,+4.77155700E-05,1559361961.606,,0.00017142025191675794
388,+4.76728300E-05,1559361961.8143332,,0.00017175062431544358
389,+4.76641400E-05,1559361962.0226667,,0.0001717416429353779
390,+4.76828500E-05,1559361962.231,,0.0001717381708652793
391,+4.76721600E-05,1559361962.4393332,,0.0001717332530120482
392,+4.76688300E-05,1559361962.6476667,,0.00017173209200438115
393,+4.76728300E-05,1559361962.856,,0.00017172601314348302
394,+4.76347700E-05,1559361963.0643332,,0.00017172369112814897
395,+4.76654800E-05,1559361963.2726667,,0.00017171847754654984
396,+4.76674900E-05,1559361963.481,,0.00017171095290251915
397,+4.76080600E-05,1559361963.6893332,,0.00017170733844468783
398,+4.76801700E-05,1559361963.8976667,,0.00017170140197152246
399,+4.76394400E-05,1559361964.106,,0.00017169401971522453
400,+4.75853500E-05,1559361967.706,,0.0001728940635268346
401,+4.75666500E-05,1559361967.9143333,,0.00017347127053669222
402,+4.75546200E-05,1559361968.1226668,,0.00017346635268346113
403,+4.75566300E-05,1559361968.331,,0.0001747072070098576
