,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
171,+4.71626100E-05,1559360755.352,,7.227068236582695e-05
172,+4.71853200E-05,1559360755.5603333,,7.227324315443592e-05
173,+4.71706300E-05,1559360755.7686667,,7.227562979189485e-05
174,+4.71859900E-05,1559360755.977,,7.227850821467689e-05
175,+4.72427500E-05,1559360759.465,,7.35737995618839e-05
176,+4.72647800E-05,1559360759.6733332,,7.43226560788609e-05
177,+4.71752900E-05,1559360759.8816667,,7.432718400876232e-05
178,+4.72193700E-05,1559360760.09,,7.58997929901424e-05
179,+4.71960000E-05,1559360760.2983332,,7.650108543263966e-05
180,+4.72507700E-05,1559360760.5066667,,7.650529572836802e-05
181,+4.72107000E-05,1559360760.715,,7.80886790799562e-05
182,+4.72694600E-05,1559360760.9233332,,7.861372836801753e-05
183,+4.72667900E-05,1559360761.1316667,,7.861834282584886e-05
184,+4.72895000E-05,1559360761.34,,8.025636144578313e-05
185,+4.73262200E-05,1559360761.5483332,,8.07260799561884e-05
186,+4.73222100E-05,1559360761.7566667,,8.073166374589266e-05
187,+4.73135400E-05,1559360761.965,,8.261758159912376e-05
188,+4.73863200E-05,1559360762.1733332,,8.290906681270537e-05
189,+4.73562700E-05,1559360762.3816667,,8.291324753559693e-05
190,+4.73976800E-05,1559360762.59,,8.29167765607886e-05
191,+4.73916800E-05,1559360762.7983332,,8.29223165388828e-05
192,+4.74424400E-05,1559360763.0066667,,8.292733625410734e-05
193,+4.74224000E-05,1559360763.215,,8.293332530120481e-05
194,+4.74364100E-05,1559360763.4233332,,8.293822891566265e-05
195,+4.73970100E-05,1559360763.6316667,,8.294258378970427e-05
196,+4.74157200E-05,1559360763.84,,8.294810952902519e-05
197,+4.74350800E-05,1559360764.0483332,,8.295444468784227e-05
198,+4.74117100E-05,1559360764.2566667,,8.296005805038335e-05
199,+4.73776400E-05,1559360764.465,,8.296523658269441e-05
200,+4.74471100E-05,1559360768.066,,8.426455969331873e-05
201,+4.74370800E-05,1559360768.2743332,,8.508544578313252e-05
202,+4.74738200E-05,1559360768.4826667,,8.509114457831326e-05
203,+4.73983600E-05,1559360768.691,,8.657556845564074e-05
204,+4.74150500E-05,1559360768.8993332,,8.720349288061336e-05
205,+4.74484400E-05,1559360769.1076667,,8.720907667031764e-05
206,+4.74444300E-05,1559360769.316,,8.865882913472071e-05
207,+4.74931800E-05,1559360769.5243332,,8.919575027382256e-05
208,+4.74491000E-05,1559360769.7326667,,8.920062541073383e-05
209,+4.74424200E-05,1559360769.941,,9.134983680175247e-05
210,+4.74597900E-05,1559360770.1493332,,9.182169112814895e-05
211,+4.74571300E-05,1559360770.3576667,,9.182754983570647e-05
212,+4.74918500E-05,1559360770.566,,9.32917995618839e-05
213,+4.74724800E-05,1559360770.7743332,,9.355952902519167e-05
214,+4.75065400E-05,1559360770.9826667,,9.356368127053669e-05
215,+4.75105400E-05,1559360771.191,,9.356878751369114e-05
216,+4.74911800E-05,1559360771.3993332,,9.357273603504929e-05
217,+4.74844900E-05,1559360771.6076667,,9.357704709748084e-05
218,+4.74811600E-05,1559360771.816,,9.358213910186199e-05
