,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
185,+4.67038500E-05,1559364557.6413333,,8.309118838992333e-05,4.851420689655173e-05
186,+4.67031800E-05,1559364557.8496668,,8.309353231106243e-05,4.8507034482758617e-05
187,+4.67318900E-05,1559364558.058,,8.459245235487405e-05,4.851087684729064e-05
188,+4.67485900E-05,1559364558.2663333,,8.520423767798467e-05,4.85152315270936e-05
189,+4.67485800E-05,1559364558.4746668,,8.520631982475355e-05,4.851087684729064e-05
190,+4.67639500E-05,1559364558.683,,8.520808543263966e-05,4.851010837438424e-05
191,+4.68287200E-05,1559364558.8913333,,8.520987842278204e-05,4.851471921182266e-05
192,+4.67833200E-05,1559364559.0996668,,8.521272836801752e-05,4.851702463054188e-05
193,+4.68046800E-05,1559364559.308,,8.521361117196057e-05,4.851023645320196e-05
194,+4.68120300E-05,1559364559.5163333,,8.521650383351587e-05,4.851395073891625e-05
195,+4.68273900E-05,1559364559.7246668,,8.521910843373494e-05,4.851164532019704e-05
196,+4.68888300E-05,1559364559.933,,8.522088718510406e-05,4.850754679802956e-05
197,+4.68808100E-05,1559364560.1413333,,8.522431544359255e-05,4.851062068965517e-05
198,+4.68794800E-05,1559364560.3496668,,8.522691894852136e-05,4.8510364532019704e-05
199,+4.69262200E-05,1559364560.558,,8.522819277108434e-05,4.851331034482759e-05
200,+4.69442600E-05,1559364564.157,,8.630666703176343e-05,4.851856157635468e-05
201,+4.69522700E-05,1559364564.3653333,,8.733425301204819e-05,4.851395073891625e-05
202,+4.69769900E-05,1559364564.5736668,,8.733548192771084e-05,4.851241379310345e-05
203,+4.69556200E-05,1559364564.782,,8.839715881708653e-05,4.851497536945812e-05
204,+4.69683100E-05,1559364564.9903333,,8.931888170865279e-05,4.851254187192118e-05
205,+4.70057000E-05,1559364565.1986668,,8.932161555312158e-05,4.851087684729064e-05
206,+4.70210600E-05,1559364565.407,,9.078825191675795e-05,4.8513694581280785e-05
207,+4.69910000E-05,1559364565.6153333,,9.194420372398684e-05,4.8510364532019704e-05
208,+4.69803300E-05,1559364565.8236668,,9.194868893756846e-05,4.851049261083744e-05
209,+4.69696300E-05,1559364566.032,,9.306845016429353e-05,4.850985221674877e-05
