,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
238,+4.73035300E-05,1559360448.5843332,,0.00010589917853231106
239,+4.72694700E-05,1559360448.7926667,,0.00010592455093099672
240,+4.72948400E-05,1559360449.001,,0.0001059467699890471
241,+4.72661100E-05,1559360449.2093332,,0.0001059806056955093
242,+4.72601100E-05,1559360449.4176667,,0.00010600722234392114
243,+4.72601100E-05,1559360449.626,,0.00010603025082146768
244,+4.72440800E-05,1559360449.8343332,,0.00010604393537787513
245,+4.72260600E-05,1559360450.0426667,,0.00010606171412924425
246,+4.72434100E-05,1559360450.251,,0.00010607596276013143
247,+4.72294000E-05,1559360450.4593332,,0.00010607017634173056
248,+4.72354100E-05,1559360450.6676667,,0.00010604036254107338
249,+4.72507500E-05,1559360450.876,,0.00010601950383351589
250,+4.73228900E-05,1559360454.475,,0.00010716006462212485
251,+4.73275700E-05,1559360454.6833332,,0.00010781793318729462
252,+4.73255600E-05,1559360454.8916667,,0.0001078287677984666
253,+4.73783200E-05,1559360455.1,,0.00011161083242059145
254,+4.73315700E-05,1559360455.3083332,,0.00011157546549835705
255,+4.73402500E-05,1559360455.5166667,,0.00011157110624315443
256,+4.73309000E-05,1559360455.725,,0.00011415295728368018
257,+4.73576200E-05,1559360455.9333332,,0.00011415197152245344
258,+4.73682900E-05,1559360456.1416667,,0.00011415248630887185
259,+4.73529400E-05,1559360456.35,,0.00011595539978094196
260,+4.73729700E-05,1559360456.5583332,,0.00011595662650602409
261,+4.73529400E-05,1559360456.7666667,,0.00011595727272727273
262,+4.73836600E-05,1559360456.975,,0.00011854244249726179
263,+4.74464400E-05,1559360457.1833332,,0.00011854481927710842
264,+4.73963400E-05,1559360457.3916667,,0.0001185438335158817
265,+4.74290800E-05,1559360457.6,,0.00011854373493975905
266,+4.74250700E-05,1559360457.8083332,,0.00011854209200438116
267,+4.74624500E-05,1559360458.0166667,,0.00011854326396495072
268,+4.74290700E-05,1559360458.225,,0.00011854365826944139
269,+4.74491000E-05,1559360458.4333332,,0.00011854433734939758
270,+4.74664700E-05,1559360458.6416667,,0.0001185453121577218
271,+4.74738200E-05,1559360458.85,,0.0001185453231106243
272,+4.74744800E-05,1559360459.0583332,,0.00011854438116100767
273,+4.74771600E-05,1559360459.2666667,,0.00011854326396495072
274,+4.74744800E-05,1559360459.475,,0.00011854266155531215
275,+4.74464300E-05,1559360463.188,,0.0001185537677984666
276,+4.74431000E-05,1559360463.3963332,,0.00012035524644030669
277,+4.74390900E-05,1559360463.6046667,,0.00012035575027382257
278,+4.74504300E-05,1559360463.813,,0.00012043503833515881
279,+4.74310800E-05,1559360464.0213332,,0.00012293717415115006
280,+4.74431000E-05,1559360464.2296667,,0.00012293698795180723
281,+4.74704800E-05,1559360464.438,,0.00012303865279299014
282,+4.74998700E-05,1559360464.6463332,,0.00012474284775465497
283,+4.75058600E-05,1559360464.8546667,,0.00012474221248630885
284,+4.74992000E-05,1559360465.063,,0.00012512641840087624
285,+4.75052100E-05,1559360465.2713332,,0.00012732513691128148
286,+4.74918500E-05,1559360465.4796667,,0.0001273266265060241
287,+4.75032000E-05,1559360465.688,,0.0001276453669222344
288,+4.74911800E-05,1559360465.8963332,,0.00012913774370208105
289,+4.74464400E-05,1559360466.1046667,,0.0001291373822562979
290,+4.74785000E-05,1559360466.313,,0.0001291380613362541
291,+4.74190600E-05,1559360466.5213332,,0.00012913638554216868
292,+4.74050300E-05,1559360466.7296667,,0.0001291370317634173
293,+4.74531100E-05,1559360466.938,,0.00012913762322015333
294,+4.74397600E-05,1559360467.1463332,,0.00012913631982475356
295,+4.73923300E-05,1559360467.3546667,,0.00012913751369112816
296,+4.74638000E-05,1559360467.563,,0.00012913670317634172
297,+4.74564500E-05,1559360467.7713332,,0.00012913504928806135
298,+4.74210600E-05,1559360467.9796667,,0.00012913534501642936
299,+4.74223900E-05,1559360468.188,,0.0001291346768893757
300,+4.74557900E-05,1559360471.675,,0.0001301933187294633
301,+4.74711500E-05,1559360471.8833332,,0.0001308172070098576
302,+4.74103800E-05,1559360472.0916667,,0.00013081753559693318
303,+4.74404300E-05,1559360472.3,,0.00013354081051478642
304,+4.74290700E-05,1559360472.5083332,,0.0001335423986856517
305,+4.74851700E-05,1559360472.7166667,,0.0001335437020810515
306,+4.74784800E-05,1559360472.925,,0.00013534946330777655
307,+4.74671400E-05,1559360473.1333332,,0.00013535119386637459
308,+4.74711500E-05,1559360473.3416667,,0.00013535293537787513
309,+4.74464400E-05,1559360473.55,,0.00013793659364731654
310,+4.74724700E-05,1559360473.7583332,,0.0001379373165388828
311,+4.74684700E-05,1559360473.9666667,,0.00013793615553121577
312,+4.75138900E-05,1559360474.175,,0.00013974538882803944
313,+4.74224000E-05,1559360474.3833332,,0.00013974336254107337
314,+4.74865100E-05,1559360474.5916667,,0.00013974510405257391
315,+4.74638000E-05,1559360474.8,,0.00013974568455640745
316,+4.74310800E-05,1559360475.0083332,,0.00013974596933187295
317,+4.74664700E-05,1559360475.2166667,,0.00013974713033953999
318,+4.74464400E-05,1559360475.425,,0.00013974683461117198
319,+4.74417600E-05,1559360475.6333332,,0.00013974538882803944
320,+4.74464300E-05,1559360475.8416667,,0.00013974510405257391
