Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
589.65199995,+9.05137100E-05,-1.50089000E-03,-14.7870935961,+1.57980000E-05
591.812999964,+9.05036900E-05,-1.50123100E-03,-14.790453202,+1.61880000E-05
593.973999977,+9.04987500E-05,-1.50120400E-03,-14.7901871921,+1.63970000E-05
596.13499999,+9.04904700E-05,-1.50138800E-03,-14.792,+1.62270000E-05
598.296000004,+9.05055600E-05,-1.50125700E-03,-14.7907093596,+1.69040000E-05
600.455999851,+9.04952800E-05,-1.50117800E-03,-14.7899310345,+1.72420000E-05
602.616999865,+9.04900700E-05,-1.50116500E-03,-14.7898029557,+1.76710000E-05
604.77699995,+9.04847300E-05,-1.50110000E-03,-14.7891625616,+1.74760000E-05
606.937999964,+9.04699000E-05,-1.50125700E-03,-14.7907093596,+1.79960000E-05
609.09800005,+9.04908700E-05,-1.50120400E-03,-14.7901871921,+1.83470000E-05
611.259000063,+9.04847300E-05,-1.50146600E-03,-14.7927684729,+1.88150000E-05
613.420000076,+9.04900700E-05,-1.50107300E-03,-14.7888965517,+1.91790000E-05
615.579999924,+9.04882000E-05,-1.50130900E-03,-14.7912216749,+1.95690000E-05
617.740999937,+9.04867300E-05,-1.50112600E-03,-14.7894187192,+1.95430000E-05
619.90199995,+9.04812500E-05,-1.50142700E-03,-14.7923842365,+2.01800000E-05
622.062000036,+9.04773800E-05,-1.50112600E-03,-14.7894187192,+2.05050000E-05
624.221999884,+9.04906000E-05,-1.50119100E-03,-14.7900591133,+2.06090000E-05
626.381999969,+9.04836600E-05,-1.50119100E-03,-14.7900591133,+2.10260000E-05
628.54399991,+9.04880700E-05,-1.50119100E-03,-14.7900591133,+2.13380000E-05
630.703999996,+9.04732400E-05,-1.50141400E-03,-14.7922561576,+2.12860000E-05
632.86500001,+9.04817900E-05,-1.50125700E-03,-14.7907093596,+2.17280000E-05
635.024999857,+9.04787200E-05,-1.50140100E-03,-14.7921280788,+2.18190000E-05
637.18599987,+9.04872600E-05,-1.50111300E-03,-14.7892906404,+2.25340000E-05
639.346999884,+9.04683000E-05,-1.50119100E-03,-14.7900591133,+2.26900000E-05
641.506999969,+9.04716400E-05,-1.50103400E-03,-14.7885123153,+2.29370000E-05
643.667999983,+9.04618900E-05,-1.50121700E-03,-14.7903152709,+2.27550000E-05
645.829999924,+9.04843300E-05,-1.50125700E-03,-14.7907093596,+2.38470000E-05
647.990999937,+9.04650900E-05,-1.50147900E-03,-14.7928965517,+2.41200000E-05
650.151000023,+9.04737700E-05,-1.50115200E-03,-14.7896748768,+2.39120000E-05
652.312000036,+9.04699000E-05,-1.50112600E-03,-14.7894187192,+2.43800000E-05
654.471999884,+9.04677600E-05,-1.50178000E-03,-14.795862069,+2.50950000E-05
656.631999969,+9.04671000E-05,-1.50104700E-03,-14.7886403941,+2.51990000E-05
658.792999983,+9.04644300E-05,-1.50120400E-03,-14.7901871921,+2.51210000E-05
660.953000069,+9.04572100E-05,-1.50136100E-03,-14.7917339901,+2.53420000E-05
663.114000082,+9.04589500E-05,-1.50149200E-03,-14.7930246305,+2.55510000E-05
665.274999857,+9.04585500E-05,-1.50145300E-03,-14.7926403941,+2.57980000E-05
667.434999943,+9.04648300E-05,-1.50133500E-03,-14.7914778325,+2.59150000E-05
669.595999956,+9.04498700E-05,-1.50132200E-03,-14.7913497537,+2.66690000E-05
671.756000042,+9.04512000E-05,-1.50128300E-03,-14.7909655172,+2.66560000E-05
673.917000055,+9.04322400E-05,-1.50110000E-03,-14.7891625616,+2.72800000E-05
