Time (s),Temp Probe Voltage (V)
126.20299983,+6.02645480E-01
126.602999926,+6.02532320E-01
127.003000021,+6.02423710E-01
127.402999878,+6.02366030E-01
127.802999973,+6.02341610E-01
128.20299983,+6.02290030E-01
128.602999926,+6.02399030E-01
129.003000021,+6.02837880E-01
129.402999878,+6.03263740E-01
129.802999973,+2.13804630E-01
130.20299983,+7.25921000E-04
130.641000032,+2.09870000E-05
131.079999924,+4.60332110E-01
131.523999929,+6.10791460E-01
131.924000025,+6.12570390E-01
132.323999882,+6.13557490E-01
132.723999977,+6.14242140E-01
133.123999834,+6.14760370E-01
133.523999929,+6.15182600E-01
133.922999859,+6.15787220E-01
134.322999954,+6.16600490E-01
134.72300005,+6.17267860E-01
135.121999979,+6.17868720E-01
135.521999836,+6.18337850E-01
135.921999931,+6.18793340E-01
136.322999954,+6.19228040E-01
136.721999884,+6.19715480E-01
137.121999979,+6.20284250E-01
137.521999836,+6.20962920E-01
137.921000004,+6.21919620E-01
138.319999933,+6.23116400E-01
138.720000029,+6.24492590E-01
139.119999886,+6.26474580E-01
139.518999815,+6.28992070E-01
139.919999838,+6.32487740E-01
140.319000006,+6.36821450E-01
140.718999863,+6.41489990E-01
141.118000031,+6.45780310E-01
141.517999887,+6.50175520E-01
141.917999983,+6.54708130E-01
142.31799984,+6.59160190E-01
142.717999935,+6.63710770E-01
143.118000031,+6.68343030E-01
143.51699996,+6.72917380E-01
143.916999817,+6.77261100E-01
144.316999912,+6.81398120E-01
144.717000008,+6.85202070E-01
145.115999937,+6.89199570E-01
145.516000032,+6.93061960E-01
145.915999889,+6.96670230E-01
146.315999985,+6.99889530E-01
146.715999842,+7.02933880E-01
147.11500001,+7.05790330E-01
147.514999866,+7.08624040E-01
147.914000034,+7.11267940E-01
148.312999964,+7.13707140E-01
148.712999821,+7.16035090E-01
149.113999844,+7.18177650E-01
149.514999866,+7.20248240E-01
149.914000034,+7.22161240E-01
150.312999964,+7.24006060E-01
150.712999821,+7.25766800E-01
151.111999989,+7.27505320E-01
151.511999846,+7.29218000E-01
151.911000013,+7.30965490E-01
152.31099987,+7.32662440E-01
152.710999966,+7.34295780E-01
153.110999823,+7.35871260E-01
153.510999918,+7.37431800E-01
153.909999847,+7.38935050E-01
154.309999943,+7.40417000E-01
154.708999872,+7.41877630E-01
155.108999968,+7.43317480E-01
155.507999897,+7.44698390E-01
155.907999992,+7.46061720E-01
156.307999849,+7.47389460E-01
156.707000017,+7.48693800E-01
157.105999947,+7.49998280E-01
157.504999876,+7.51283790E-01
157.904999971,+7.52552290E-01
158.304999828,+7.53806620E-01
158.704999924,+7.55045260E-01
159.105000019,+7.56264250E-01
159.503999949,+7.57463760E-01
159.904000044,+7.58648980E-01
160.302999973,+7.59818860E-01
160.70299983,+7.60974330E-01
161.101999998,+7.62106280E-01
161.501999855,+7.63219520E-01
161.901000023,+7.64309640E-01
162.30099988,+7.65388070E-01
162.700999975,+7.66442120E-01
163.099999905,+7.67475340E-01
163.500999928,+7.68485040E-01
163.899999857,+7.69474470E-01
164.299999952,+7.70461180E-01
164.698999882,+7.71434110E-01
165.098999977,+7.72383140E-01
165.498999834,+7.73323470E-01
165.898999929,+7.74249630E-01
166.299000025,+7.75165410E-01
166.698999882,+7.76070570E-01
167.098999977,+7.76965290E-01
167.497999907,+7.77850530E-01
167.898000002,+7.78726680E-01
168.296999931,+7.79592050E-01
168.697000027,+7.80446760E-01
169.096999884,+7.81319660E-01
169.496999979,+7.82236080E-01
169.896999836,+7.83223050E-01
170.296000004,+7.84186760E-01
170.695999861,+7.85074860E-01
171.095000029,+7.85997000E-01
171.494999886,+7.86903190E-01
171.893999815,+7.87769200E-01
172.29399991,+7.88600400E-01
172.694000006,+7.89437310E-01
173.092999935,+7.90270200E-01
173.493000031,+7.91022280E-01
173.892999887,+7.91761360E-01
174.292999983,+7.92506560E-01
174.691999912,+7.93251880E-01
175.092000008,+7.93995000E-01
175.491999865,+7.94736160E-01
175.891000032,+7.95472520E-01
176.290999889,+7.96204070E-01
176.690999985,+7.96926450E-01
177.089999914,+7.97643710E-01
177.49000001,+7.98352920E-01
177.889999866,+7.99056280E-01
178.289999962,+7.99752890E-01
178.688999891,+8.00442740E-01
179.088999987,+8.01126480E-01
179.488999844,+8.01805940E-01
179.888999939,+8.02474610E-01
180.287999868,+8.03139260E-01
180.687999964,+8.03796240E-01
181.086999893,+8.04450750E-01
181.486999989,+8.05096820E-01
181.886999846,+8.05739770E-01
182.286999941,+8.06373890E-01
182.687000036,+8.07003330E-01
183.086999893,+8.07627470E-01
183.485999823,+8.08245740E-01
183.886999846,+8.08858550E-01
184.286999941,+8.09466810E-01
184.68599987,+8.10069740E-01
185.085999966,+8.10666830E-01
185.484999895,+8.11260420E-01
185.883999825,+8.11847760E-01
186.28399992,+8.12430690E-01
186.684000015,+8.13010120E-01
187.083999872,+8.13584990E-01
187.483999968,+8.14155320E-01
187.883999825,+8.14717850E-01
188.28399992,+8.15278050E-01
188.684000015,+8.15833170E-01
189.082999945,+8.16383490E-01
189.48300004,+8.16934590E-01
189.881999969,+8.17481150E-01
190.281999826,+8.18021510E-01
190.681999922,+8.18558840E-01
191.082000017,+8.19090200E-01
191.480999947,+8.19617780E-01
191.881000042,+8.20140170E-01
192.280999899,+8.20657880E-01
192.680999994,+8.21171310E-01
193.080999851,+8.21680190E-01
193.480000019,+8.22186730E-01
193.878999949,+8.22688590E-01
194.279000044,+8.23190320E-01
194.678999901,+8.23684260E-01
195.079999924,+8.24176770E-01
195.480000019,+8.24663430E-01
195.879999876,+8.25150480E-01
196.280999899,+8.25629220E-01
196.679999828,+8.26106140E-01
197.079999924,+8.26576820E-01
197.480000019,+8.27047370E-01
197.878999949,+8.27513250E-01
198.279000044,+8.27976140E-01
198.678999901,+8.28433860E-01
199.078999996,+8.28889340E-01
199.478999853,+8.29341190E-01
199.878000021,+8.29790820E-01
200.277999878,+8.30236040E-01
200.677000046,+8.30679310E-01
201.076999903,+8.31118560E-01
201.476999998,+8.31554290E-01
201.876999855,+8.31987430E-01
202.276000023,+8.32417840E-01
202.67599988,+8.32846430E-01
203.075999975,+8.33271770E-01
203.475999832,+8.33694770E-01
203.876999855,+8.34113100E-01
204.276000023,+8.34529350E-01
204.67599988,+8.34943260E-01
205.075999975,+8.35354050E-01
205.474999905,+8.35761990E-01
205.875,+8.36168490E-01
206.274999857,+8.36570710E-01
206.674000025,+8.36970720E-01
207.072999954,+8.37366440E-01
207.471999884,+8.37763070E-01
207.871999979,+8.38153590E-01
208.271999836,+8.38543600E-01
208.671000004,+8.38930130E-01
209.069999933,+8.39316630E-01
209.470000029,+8.39697540E-01
209.871000051,+8.40077410E-01
210.269999981,+8.40452340E-01
210.669999838,+8.40828320E-01
211.069999933,+8.41198190E-01
211.468999863,+8.41568970E-01
211.868999958,+8.41933640E-01
212.267999887,+8.42298440E-01
212.66899991,+8.42661030E-01
213.06799984,+8.43019990E-01
213.467999935,+8.43376870E-01
213.868000031,+8.43732050E-01
214.267999887,+8.44085160E-01
214.66899991,+8.44435800E-01
215.069000006,+8.44783460E-01
215.467999935,+8.45128640E-01
215.868000031,+8.45470840E-01
216.26699996,+8.45811350E-01
216.665999889,+8.46148740E-01
217.065999985,+8.46483270E-01
217.464999914,+8.46817540E-01
217.86500001,+8.47148560E-01
218.264999866,+8.47477770E-01
218.664000034,+8.47804250E-01
219.064999819,+8.48129680E-01
219.463999987,+8.48452780E-01
219.863999844,+8.48773150E-01
220.263999939,+8.49093130E-01
220.664000034,+8.49408750E-01
221.062999964,+8.49723790E-01
221.462999821,+8.50035720E-01
221.861999989,+8.50346220E-01
222.261999846,+8.50655800E-01
222.661999941,+8.50961490E-01
223.06099987,+8.51265760E-01
223.460999966,+8.51568460E-01
223.860999823,+8.51869730E-01
224.25999999,+8.52167890E-01
224.659999847,+8.52466040E-01
225.059000015,+8.52760430E-01
225.458999872,+8.53053780E-01
225.858999968,+8.53344660E-01
226.257999897,+8.53633720E-01
226.656999826,+8.53919920E-01
227.056999922,+8.54204960E-01
227.455999851,+8.54488430E-01
227.855999947,+8.54771390E-01
228.256000042,+8.55050320E-01
228.655999899,+8.55329890E-01
229.055999994,+8.55605440E-01
229.455999851,+8.55880210E-01
229.855000019,+8.56153170E-01
230.254999876,+8.56424820E-01
230.655999899,+8.56694780E-01
231.055999994,+8.56962670E-01
231.454999924,+8.57228600E-01
231.855000019,+8.57493760E-01
232.254999876,+8.57755800E-01
232.654000044,+8.58016410E-01
233.053999901,+8.58276370E-01
233.45299983,+8.58534380E-01
233.852999926,+8.58790320E-01
234.253000021,+8.59044430E-01
234.65199995,+8.59298150E-01
235.052000046,+8.59549020E-01
235.451999903,+8.59800280E-01
235.852999926,+8.60048840E-01
236.253000021,+8.60294900E-01
236.652999878,+8.60538230E-01
237.052999973,+8.60781180E-01
237.451999903,+8.61020090E-01
237.851999998,+8.61261080E-01
238.251999855,+8.61499740E-01
238.65199995,+8.61736960E-01
239.05099988,+8.61973800E-01
239.450999975,+8.62209460E-01
239.850999832,+8.62442790E-01
240.250999928,+8.62676510E-01
240.649999857,+8.62907240E-01
241.049999952,+8.63137190E-01
241.450000048,+8.63365580E-01
241.848999977,+8.63594750E-01
242.248999834,+8.63819890E-01
242.648999929,+8.64045680E-01
243.047999859,+8.64268750E-01
243.447999954,+8.64492330E-01
243.84800005,+8.64712800E-01
244.247999907,+8.64933010E-01
244.648000002,+8.65150740E-01
245.047999859,+8.65367310E-01
245.447000027,+8.65584920E-01
245.846999884,+8.65799670E-01
246.246000051,+8.66012340E-01
246.645999908,+8.66224230E-01
247.046000004,+8.66434830E-01
247.444999933,+8.66646980E-01
247.843999863,+8.66860430E-01
248.243999958,+8.67077130E-01
248.643999815,+8.67289280E-01
249.04399991,+8.67491690E-01
249.444000006,+8.67693180E-01
249.842999935,+8.67892340E-01
250.241999865,+8.68092410E-01
250.642999887,+8.68289110E-01
251.041999817,+8.68486580E-01
251.441999912,+8.68681450E-01
251.842000008,+8.68877100E-01
252.240999937,+8.69071190E-01
252.641000032,+8.69265680E-01
253.040999889,+8.69455740E-01
253.440999985,+8.69643340E-01
253.840999842,+8.69827820E-01
254.241999865,+8.70012820E-01
254.641000032,+8.70197170E-01
255.040999889,+8.70382190E-01
255.440999985,+8.70560690E-01
255.840999842,+8.70742960E-01
256.24000001,+8.70919260E-01
256.639999866,+8.71095290E-01
257.039999962,+8.71267820E-01
257.438999891,+8.71432290E-01
257.838999987,+8.71574160E-01
258.238999844,+8.71696280E-01
258.638999939,+8.71807360E-01
259.037999868,+8.71906090E-01
259.437999964,+8.71998720E-01
259.837999821,+8.72088240E-01
260.237999916,+8.72152280E-01
260.638999939,+8.72301430E-01
261.037999868,+8.72429520E-01
261.437999964,+8.72564630E-01
261.837999821,+8.72675580E-01
262.237999916,+8.72762760E-01
262.636999846,+8.72833950E-01
263.037999868,+8.72900600E-01
263.437000036,+8.72966590E-01
263.835999966,+8.73005960E-01
264.235999823,+8.72740540E-01
264.636999846,+8.72800300E-01
265.036999941,+8.73106120E-01
265.437000036,+8.73305150E-01
265.836999893,+8.73475730E-01
266.236999989,+8.73600970E-01
266.636999846,+8.73700610E-01
267.036000013,+8.73806360E-01
267.43599987,+8.73927060E-01
267.835000038,+8.73952130E-01
268.234999895,+8.73975640E-01
268.633999825,+8.73944590E-01
269.03399992,+8.73878470E-01
269.432999849,+8.73912890E-01
269.832999945,+8.74040080E-01
270.23300004,+8.74306410E-01
270.632999897,+8.74532070E-01
271.030999899,+8.74519210E-01
271.431999922,+8.74669910E-01
271.832000017,+8.74776050E-01
272.230999947,+8.74468930E-01
272.631000042,+8.74377210E-01
273.029999971,+8.74977940E-01
273.429999828,+8.75434850E-01
273.828999996,+8.76470020E-01
274.228999853,+5.57583080E-01
274.628000021,+8.80383320E-01
275.027999878,+6.56129790E-01
275.427000046,+3.69010700E-01
275.82799983,+8.86175120E-01
276.227999926,+8.87492460E-01
276.626999855,+8.88242330E-01
277.02699995,+8.89036370E-01
277.42599988,+8.90207950E-01
277.826999903,+8.91514550E-01
278.226999998,+8.93144980E-01
278.626999855,+8.94171830E-01
279.02699995,+8.94657200E-01
279.427999973,+8.95416420E-01
279.826999903,+8.96373890E-01
280.226999998,+8.97346440E-01
280.626999855,+8.98203620E-01
281.026000023,+8.99059890E-01
281.42599988,+9.00352810E-01
281.825000048,+9.02086950E-01
282.224999905,+9.03975000E-01
282.623999834,+9.05802910E-01
283.023999929,+9.07789830E-01
283.424000025,+9.09656070E-01
283.823999882,+9.11515410E-01
284.223999977,+9.13334780E-01
284.622999907,+9.15114880E-01
285.023000002,+9.16716870E-01
285.421999931,+9.18241550E-01
285.822000027,+9.19618520E-01
286.221999884,+9.20584440E-01
286.621999979,+9.21544910E-01
287.023000002,+9.22713750E-01
287.421999931,+9.23919920E-01
287.822000027,+9.24903370E-01
288.220999956,+9.25799140E-01
288.621000051,+9.26358030E-01
289.021999836,+9.26797020E-01
289.421999931,+9.27306160E-01
289.820999861,+9.27834260E-01
290.220999956,+9.28348080E-01
290.621000051,+9.28830840E-01
291.019999981,+9.29316200E-01
291.419999838,+9.29828720E-01
291.819999933,+9.30416850E-01
292.218999863,+9.30941310E-01
292.618999958,+9.31416540E-01
293.018999815,+9.31901390E-01
293.417999983,+9.32380640E-01
293.81799984,+9.32843140E-01
294.217999935,+9.33316850E-01
294.618000031,+9.33779480E-01
295.017999887,+9.34221190E-01
295.41899991,+9.34713050E-01
295.81799984,+9.35224530E-01
296.217999935,+9.35684300E-01
296.618000031,+9.36147570E-01
297.017999887,+9.36583570E-01
297.417999983,+9.36981890E-01
297.816999912,+9.37418920E-01
298.217000008,+9.37822180E-01
298.615999937,+9.38296890E-01
299.016000032,+9.38713140E-01
299.415999889,+9.39109510E-01
299.815999985,+9.39511730E-01
300.214999914,+9.39904070E-01
300.61500001,+9.40314860E-01
301.013999939,+9.40721500E-01
301.412999868,+9.41123330E-01
301.812000036,+9.41506840E-01
302.211999893,+9.41865790E-01
302.611999989,+9.42222930E-01
303.011999846,+9.42589810E-01
303.411999941,+9.42971110E-01
303.812000036,+9.43357090E-01
304.210999966,+9.43747670E-01
304.610999823,+9.44137420E-01
305.010999918,+9.44528460E-01
305.411999941,+9.44921980E-01
305.81099987,+9.45303800E-01
306.211999893,+9.45697180E-01
306.610999823,+9.46077440E-01
307.00999999,+9.46474070E-01
307.409999847,+9.46872520E-01
307.809999943,+9.47259800E-01
308.210000038,+9.47659420E-01
308.609999895,+9.48040460E-01
309.00999999,+9.48426960E-01
309.40899992,+9.48803840E-01
309.809000015,+9.49173710E-01
310.208999872,+9.49559430E-01
310.608999968,+9.49934760E-01
311.008999825,+9.50313460E-01
311.40899992,+9.50672150E-01
311.809000015,+9.51037870E-01
312.208999872,+9.51425790E-01
312.608999968,+9.51750450E-01
313.007999897,+9.52097970E-01
313.407999992,+9.52454330E-01
313.806999922,+9.52802240E-01
314.207000017,+9.53151070E-01
314.605999947,+9.53492610E-01
315.006999969,+9.53835200E-01
315.405999899,+9.54171160E-01
315.805999994,+9.54505080E-01
316.204999924,+9.54833510E-01
316.605000019,+9.55119190E-01
317.004999876,+9.55454370E-01
317.404000044,+9.55788260E-01
317.803999901,+9.56094990E-01
318.203999996,+9.56412240E-01
318.603999853,+9.56716630E-01
319.003999949,+9.57016600E-01
319.402999878,+9.57327750E-01
319.802999973,+9.57626560E-01
320.201999903,+9.57927310E-01
320.601999998,+9.58215850E-01
321.001999855,+9.58502830E-01
321.402999878,+9.58785790E-01
321.802000046,+9.59070950E-01
322.201999903,+9.59356770E-01
322.601999998,+9.59635690E-01
323.000999928,+9.59912280E-01
323.401000023,+9.60183810E-01
323.802000046,+9.60450910E-01
324.201999903,+9.60721140E-01
324.601999998,+9.60983300E-01
325.001999855,+9.61253660E-01
325.401000023,+9.61512580E-01
325.80099988,+9.61774750E-01
326.200000048,+9.62031460E-01
326.599999905,+9.62293500E-01
327.000999928,+9.62548000E-01
327.401000023,+9.62803940E-01
327.799999952,+9.63045320E-01
328.200000048,+9.63290210E-01
328.599999905,+9.63534970E-01
328.998999834,+9.63784280E-01
329.398999929,+9.64024620E-01
329.797999859,+9.64276140E-01
330.197999954,+9.64506090E-01
330.59800005,+9.64753470E-01
330.996999979,+9.64994990E-01
331.396999836,+9.65233770E-01
331.796999931,+9.65477750E-01
332.197000027,+9.65726020E-01
332.596999884,+9.65960000E-01
332.996999979,+9.66178120E-01
333.395999908,+9.66403790E-01
333.796000004,+9.66634000E-01
334.195999861,+9.66860440E-01
334.595999956,+9.67086880E-01
334.996000051,+9.67304880E-01
335.395999908,+9.67525730E-01
335.794999838,+9.67745420E-01
336.194999933,+9.67964460E-01
336.595000029,+9.68178170E-01
336.993999958,+9.68391750E-01
337.394999981,+9.68602210E-01
337.794999838,+9.68812800E-01
338.194000006,+9.69019370E-01
338.592999935,+9.69225420E-01
338.991999865,+9.69432630E-01
339.392999887,+9.69634520E-01
339.792999983,+9.69835500E-01
340.19299984,+9.70037260E-01
340.592000008,+9.70236550E-01
340.990999937,+9.70435190E-01
341.392999887,+9.70630840E-01
341.791999817,+9.70822980E-01
342.191999912,+9.71016300E-01
342.592000008,+9.71207400E-01
342.993000031,+9.71401880E-01
