Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
153.578999996,-2.92210800E-03,-28.9317623762
154.01699996,-5.47655700E-03,-54.2233366337
154.454999924,-7.22800550E+00,-71564.4108911
154.815000057,-7.56151480E+00,-74866.4831683
155.174000025,-7.54651920E+00,-74718.0118812
155.532999992,-7.53479570E+00,-74601.9376238
155.891000032,-7.52646890E+00,-74519.4940594
156.25,-1.19834380E-02,-118.64790099
156.688999891,-3.72150500E-03,-36.8465841584
157.126999855,-3.38577200E-03,-33.5224950495
157.565000057,-3.37609900E-03,-33.4267227723
158.003999949,-3.38768300E-03,-33.5414158416
158.441999912,-3.53151800E-03,-34.9655247525
158.879999876,-3.79515700E-03,-37.5758118812
159.316999912,-4.79036700E-03,-47.4293762376
159.756000042,-5.50306200E-03,-54.4857623762
160.194000006,-6.44477800E-03,-63.8096831683
160.631000042,-7.68401700E-03,-76.0793762376
161.069000006,-7.73281300E-03,-76.5625049505
161.506999969,-7.68600700E-03,-76.0990792079
161.944000006,-7.63604600E-03,-75.6044158416
162.381999969,-7.63204100E-03,-75.5647623762
162.819000006,-7.38681900E-03,-73.1368217822
163.256999969,-6.04050900E-03,-59.807019802
163.694000006,-5.41303600E-03,-53.5944158416
164.131999969,-5.38476400E-03,-53.3144950495
164.569999933,-4.31119200E-03,-42.6850693069
165.006999969,-3.10752600E-03,-30.7675841584
165.444999933,-2.46331300E-03,-24.3892376238
165.882999897,-2.01318000E-03,-19.9324752475
166.320999861,-2.01862500E-03,-19.9863861386
166.758999825,-2.02089000E-03,-20.0088118812
167.197000027,+6.66200000E-06,0.0659603960396
167.63499999,+6.29600000E-06,0.0623366336634
168.072000027,+6.47900000E-06,0.0641485148515
168.50999999,+6.40100000E-06,0.0633762376238
168.947999954,+6.42700000E-06,0.0636336633663
169.385999918,+6.50500000E-06,0.0644059405941
169.822999954,+6.37400000E-06,0.0631089108911
170.260999918,+6.50500000E-06,0.0644059405941
170.698999882,-7.21936000E-04,-7.14788118812
171.136999846,-1.62958100E-03,-16.1344653465
171.575999975,-1.62979100E-03,-16.1365445545
172.013000011,-1.62992200E-03,-16.1378415842
172.450999975,-1.62980400E-03,-16.1366732673
172.888999939,-1.63007900E-03,-16.1393960396
173.326999903,-1.62963400E-03,-16.134990099
173.764999866,-1.62988200E-03,-16.1374455446
174.203999996,-1.63010500E-03,-16.1396534653
174.64199996,-1.63006500E-03,-16.1392574257
175.079999924,-1.63015700E-03,-16.1401683168
175.519000053,-1.63068100E-03,-16.1453564356
175.957000017,-1.63007900E-03,-16.1393960396
176.394999981,-1.63052400E-03,-16.1438019802
176.833999872,-1.63031400E-03,-16.1417227723
177.271999836,-1.63027500E-03,-16.1413366337
177.710000038,-1.63047100E-03,-16.1432772277
178.148000002,-1.63062800E-03,-16.1448316832
178.585999966,-1.63077200E-03,-16.1462574257
179.023999929,-1.63060200E-03,-16.1445742574
179.462999821,-1.63075900E-03,-16.1461287129
179.901000023,-1.63091600E-03,-16.1476831683
180.338999987,-1.63049700E-03,-16.1435346535
180.77699995,-1.63069400E-03,-16.1454851485
181.214999914,-1.63052400E-03,-16.1438019802
181.654000044,-1.63094200E-03,-16.1479405941
182.092000008,-1.63044500E-03,-16.143019802
182.529999971,-1.63083800E-03,-16.1469108911
182.967999935,-1.63075900E-03,-16.1461287129
183.405999899,-1.63120400E-03,-16.1505346535
183.843999863,-1.63081200E-03,-16.1466534653
184.281999826,-1.63099500E-03,-16.1484653465
184.720000029,-1.63104700E-03,-16.148980198
