Time (s),Temp Probe Voltage (V)
221.319000006,+8.96874070E-01
221.719000101,+8.95584010E-01
222.118999958,+8.94320320E-01
222.519000053,+8.93127310E-01
222.91899991,+8.91983930E-01
223.318000078,+8.90862590E-01
223.717999935,+8.89770910E-01
224.117000103,+8.88619220E-01
224.51699996,+8.87449330E-01
224.917000055,+8.86296070E-01
225.315999985,+8.85131640E-01
225.714999914,+8.83984230E-01
226.11500001,+8.82866440E-01
226.515000105,+8.81741120E-01
226.914000034,+8.80658610E-01
227.313999891,+8.79569790E-01
227.713999987,+8.78451610E-01
228.112999916,+8.77347850E-01
228.513999939,+8.76291380E-01
228.913000107,+8.75240110E-01
229.312000036,+8.74213000E-01
229.711999893,+8.73248900E-01
230.111000061,+8.72311560E-01
230.510999918,+8.71388770E-01
230.910000086,+8.70511190E-01
231.309999943,+8.69653860E-01
231.710000038,+8.68821760E-01
232.108999968,+8.68037590E-01
232.50999999,+8.67302660E-01
232.910000086,+8.66523560E-01
233.309000015,+8.65686900E-01
233.708999872,+8.64943790E-01
234.10800004,+8.64169620E-01
234.507999897,+8.63418060E-01
234.907999992,+8.62576860E-01
235.306999922,+8.61710460E-01
235.707000017,+8.60929280E-01
236.106999874,+8.60142900E-01
236.506999969,+8.59358820E-01
236.905999899,+8.58590640E-01
237.305999994,+8.57832320E-01
237.704999924,+8.57085310E-01
238.105000019,+8.56337780E-01
238.503999949,+8.55586870E-01
238.904000044,+8.54829330E-01
239.302999973,+8.54074910E-01
239.703000069,+8.53320630E-01
240.101999998,+8.52571140E-01
240.502000093,+8.51826990E-01
240.90199995,+8.51090760E-01
241.30099988,+8.50358820E-01
241.700999975,+8.49631030E-01
242.099999905,+8.48911640E-01
242.5,+8.48198280E-01
242.898999929,+8.47489460E-01
243.299000025,+8.46779210E-01
243.697999954,+8.46002840E-01
244.098999977,+8.45248680E-01
244.497999907,+8.44476600E-01
244.898000002,+8.43729460E-01
245.296999931,+8.42996860E-01
245.697000027,+8.42256740E-01
246.096999884,+8.41517260E-01
246.496000051,+8.40757000E-01
246.895999908,+8.39940220E-01
247.295000076,+8.39138640E-01
247.694000006,+8.38460580E-01
248.094000101,+8.37787620E-01
248.493999958,+8.37096210E-01
248.892999887,+8.36472750E-01
249.292999983,+8.35865920E-01
249.693000078,+8.35290000E-01
250.092000008,+8.34710190E-01
250.492000103,+8.34144800E-01
250.891000032,+8.33606820E-01
251.290999889,+8.33104440E-01
251.690999985,+8.32836680E-01
252.09100008,+8.33091580E-01
252.49000001,+8.33440400E-01
252.890000105,+8.33608380E-01
253.289000034,+8.33752850E-01
253.687999964,+8.33834560E-01
254.088000059,+8.33968120E-01
254.486999989,+8.34159740E-01
254.887000084,+8.34316550E-01
255.286999941,+8.34474920E-01
255.687999964,+8.34472840E-01
256.088000059,+8.34516490E-01
256.486999989,+8.34566380E-01
256.887000084,+8.34659010E-01
257.286999941,+8.34809450E-01
257.686000109,+8.34999380E-01
258.085999966,+8.35184250E-01
258.486000061,+8.35405240E-01
258.885999918,+8.35639740E-01
259.285000086,+8.35885400E-01
259.684999943,+8.36120420E-01
260.083999872,+8.36374150E-01
260.483999968,+8.36607860E-01
260.882999897,+8.36850930E-01
261.282999992,+8.37096990E-01
261.684000015,+8.37334090E-01
262.083999872,+8.37530130E-01
262.48300004,+8.37776580E-01
262.882999897,+8.38027190E-01
263.282999992,+8.38317290E-01
263.683000088,+8.38611030E-01
264.082999945,+8.38833310E-01
264.481999874,+8.39006910E-01
264.881000042,+8.39177230E-01
265.280999899,+8.39312080E-01
265.680999994,+8.39461740E-01
266.079999924,+8.39641020E-01
266.480000019,+8.39828490E-01
266.879999876,+8.39972440E-01
267.279000044,+8.40144060E-01
267.678999901,+8.40305670E-01
268.078999996,+8.40478720E-01
268.479000092,+8.40637210E-01
268.878000021,+8.40782850E-01
269.277999878,+8.40927960E-01
269.677000046,+8.41070090E-01
270.075999975,+8.41210010E-01
270.476000071,+8.41340050E-01
270.875999928,+8.41439310E-01
271.275000095,+8.41518820E-01
271.674999952,+8.41614570E-01
272.073999882,+8.41689140E-01
272.473999977,+8.41784620E-01
272.872999907,+8.41880500E-01
273.273000002,+8.41973910E-01
273.673000097,+8.42044580E-01
274.072000027,+8.42123570E-01
274.471999884,+8.42195290E-01
274.871999979,+8.42265050E-01
275.270999908,+8.42324030E-01
275.670000076,+8.42346120E-01
276.069999933,+8.42365090E-01
276.470000029,+8.42387820E-01
276.869999886,+8.42420170E-01
277.269999981,+8.42456810E-01
277.66899991,+8.42493310E-01
278.069000006,+8.42522670E-01
278.467999935,+8.42547880E-01
278.868000031,+8.42585810E-01
279.267999887,+8.42618160E-01
279.667999983,+8.42651030E-01
280.068000078,+8.42711440E-01
280.467999935,+8.42776790E-01
280.868000031,+8.42630890E-01
281.26699996,+8.42418090E-01
281.667000055,+8.42207500E-01
282.066999912,+8.41887520E-01
282.46600008,+8.41440350E-01
282.86500001,+8.40957970E-01
283.263999939,+8.40362960E-01
283.664000034,+8.39734300E-01
284.062999964,+8.39053290E-01
284.463000059,+8.38375360E-01
284.862999916,+8.37716300E-01
285.263000011,+8.37080360E-01
285.661999941,+8.36475740E-01
286.062000036,+8.35913080E-01
286.460999966,+8.35424470E-01
286.861000061,+8.34968200E-01
287.260999918,+8.34542340E-01
287.661000013,+8.34134930E-01
288.059999943,+8.33725820E-01
288.460000038,+8.33324130E-01
288.859999895,+8.32934770E-01
289.259000063,+8.32569710E-01
289.65899992,+8.32227900E-01
290.059999943,+8.31951440E-01
290.458999872,+8.31557930E-01
290.858999968,+8.31025540E-01
291.257999897,+8.30383760E-01
291.657999992,+8.29705470E-01
292.058000088,+8.28958980E-01
292.457000017,+8.28177510E-01
292.856999874,+8.27493630E-01
293.256000042,+8.26796640E-01
293.655999899,+8.26035330E-01
294.055000067,+8.25188550E-01
294.454999924,+8.24354100E-01
