Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
129.799000025,-1.06500000E-06,-0.0105445544554
130.241000175,-7.56000000E-07,-0.00748514851485
130.683000088,-8.42000000E-07,-0.00833663366337
131.125,-3.06000000E-06,-0.030297029703
131.567000151,-2.62700000E-06,-0.0260099009901
132.008000135,-1.22700000E-06,-0.0121485148515
132.450000048,-9.42000000E-07,-0.00932673267327
132.89199996,-1.42500000E-06,-0.0141089108911
133.334000111,-6.81000000E-07,-0.00674257425743
133.776000023,-6.81000000E-07,-0.00674257425743
134.218000174,-7.43000000E-07,-0.00735643564356
134.660000086,-7.31000000E-07,-0.00723762376238
135.101999998,-9.90000000E-08,-0.000980198019802
135.542999983,-1.64800000E-06,-0.0163168316832
135.985000134,-1.53600000E-06,-0.0152079207921
136.427000046,-8.92000000E-07,-0.00883168316832
136.868999958,-1.04100000E-06,-0.0103069306931
137.311000109,-7.56000000E-07,-0.00748514851485
137.753000021,-5.45000000E-07,-0.00539603960396
138.195000172,-7.43000000E-07,-0.00735643564356
138.637000084,-3.35000000E-07,-0.00331683168317
139.078000069,-3.22000000E-07,-0.00318811881188
139.519999981,-4.21000000E-07,-0.00416831683168
139.962000132,-3.35000000E-07,-0.00331683168317
140.404000044,-2.48000000E-07,-0.00245544554455
140.845000029,-4.96000000E-07,-0.00491089108911
141.288000107,-3.47000000E-07,-0.00343564356436
141.730000019,-4.58000000E-07,-0.00453465346535
142.173000097,-3.10000000E-07,-0.00306930693069
142.614000082,-5.95000000E-07,-0.00589108910891
143.055999994,-1.24000000E-07,-0.00122772277228
143.498000145,-3.59000000E-07,-0.00355445544554
143.940000057,-1.61000000E-07,-0.00159405940594
144.381000042,-1.12000000E-07,-0.00110891089109
144.82400012,-1.36000000E-07,-0.00134653465347
145.266000032,-1.61000000E-07,-0.00159405940594
145.708000183,-2.85000000E-07,-0.00282178217822
146.149000168,-1.36000000E-07,-0.00134653465347
146.59100008,-6.20000000E-08,-0.000613861386139
147.032999992,+1.24000000E-07,0.00122772277228
147.475000143,-3.35000000E-07,-0.00331683168317
147.916000128,+1.86000000E-07,0.00184158415842
148.35800004,-1.24000000E-07,-0.00122772277228
148.800000191,-1.24000000E-07,-0.00122772277228
149.242000103,-1.61000000E-07,-0.00159405940594
149.684000015,+3.70000000E-08,0.000366336633663
150.126000166,-2.11000000E-07,-0.00208910891089
150.568000078,-8.70000000E-08,-0.000861386138614
151.00999999,-1.86000000E-07,-0.00184158415842
151.450999975,-3.35000000E-07,-0.00331683168317
151.893000126,-3.70000000E-08,-0.000366336633663
152.335000038,-1.20000000E-08,-0.000118811881188
152.778000116,+0.00000000E-09,0.0
153.220000029,+3.96000000E-07,0.00392079207921
153.661000013,+3.70000000E-08,0.000366336633663
154.103000164,+1.98000000E-07,0.0019603960396
154.545000076,+1.20000000E-08,0.000118811881188
154.986999989,+8.70000000E-08,0.000861386138614
155.427999973,+1.36000000E-07,0.00134653465347
155.870000124,+2.50000000E-08,0.000247524752475
156.312000036,+7.40000000E-08,0.000732673267327
156.754000187,-8.70000000E-08,-0.000861386138614
157.196000099,-3.70000000E-08,-0.000366336633663
157.639000177,+9.90000000E-08,0.000980198019802
158.080000162,+8.70000000E-08,0.000861386138614
158.523000002,+9.90000000E-08,0.000980198019802
158.965000153,+3.72000000E-07,0.00368316831683
159.406000137,+3.72000000E-07,0.00368316831683
159.84800005,-2.23000000E-07,-0.00220792079208
160.289999962,+4.58000000E-07,0.00453465346535
160.732000113,+6.94000000E-07,0.00687128712871
161.174000025,+1.36000000E-07,0.00134653465347
161.616000175,+6.20000000E-08,0.000613861386139
162.058000088,+1.98000000E-07,0.0019603960396
162.499000072,+3.59000000E-07,0.00355445544554
162.940999985,+3.10000000E-07,0.00306930693069
163.381999969,+3.22000000E-07,0.00318811881188
163.82400012,+5.08000000E-07,0.0050297029703
164.266000032,+4.96000000E-07,0.00491089108911
164.708000183,+5.45000000E-07,0.00539603960396
165.149000168,+8.55000000E-07,0.00846534653465
165.59100008,+5.20000000E-07,0.00514851485149
166.032999992,+9.91000000E-07,0.00981188118812
166.475000143,+6.07000000E-07,0.0060099009901
166.917000055,+5.82000000E-07,0.00576237623762
167.358999968,+7.56000000E-07,0.00748514851485
167.800000191,+7.93000000E-07,0.00785148514851
168.242000103,+9.54000000E-07,0.00944554455446
168.684000015,+5.58000000E-07,0.00552475247525
169.126000166,+6.44000000E-07,0.00637623762376
169.567000151,+8.05000000E-07,0.0079702970297
170.009000063,+9.54000000E-07,0.00944554455446
170.450999975,+7.56000000E-07,0.00748514851485
170.893000126,+1.38800000E-06,0.0137425742574
171.334000111,+1.05300000E-06,0.0104257425743
171.776000023,+9.54000000E-07,0.00944554455446
172.218000174,+9.54000000E-07,0.00944554455446
172.660000086,+8.92000000E-07,0.00883168316832
173.101999998,+9.04000000E-07,0.0089504950495
173.544000149,+8.30000000E-07,0.00821782178218
173.986000061,+1.06500000E-06,0.0105445544554
174.427000046,+4.96000000E-07,0.00491089108911
174.868999958,+5.95000000E-07,0.00589108910891
175.311000109,+8.80000000E-07,0.00871287128713
175.753000021,+1.25100000E-06,0.0123861386139
176.196000099,+7.93000000E-07,0.00785148514851
176.638000011,+7.81000000E-07,0.00773267326733
177.078999996,+9.66000000E-07,0.00956435643564
177.521000147,+7.19000000E-07,0.00711881188119
177.963000059,+6.44000000E-07,0.00637623762376
178.404000044,+4.71000000E-07,0.00466336633663
178.845999956,+9.17000000E-07,0.00907920792079
179.288000107,+8.05000000E-07,0.0079702970297
179.730000019,+8.92000000E-07,0.00883168316832
180.17200017,+8.55000000E-07,0.00846534653465
180.614000082,+8.92000000E-07,0.00883168316832
181.055999994,+8.30000000E-07,0.00821782178218
181.498000145,+8.67000000E-07,0.00858415841584
181.940000057,+6.07000000E-07,0.0060099009901
